ortho_cluster	name_cluster
EOG09265QI8	Transmembrane:Helical
EOG09265QJ1	Zinc finger, DPH-type
EOG09265QJ6	Transmembrane:Helical
EOG09265QJO	hypothetical protein
EOG09265QKK	LSM domain
EOG09265QKQ	Transmembrane:Helical
EOG09265QP7	Protein kish
EOG09265QQV	PI31 proteasome regulator, C-terminal
EOG09265QQW	Transmembrane:Helical
EOG09265QR2	hypothetical protein
EOG09265QRI	Anaphase-promoting complex, subunit CDC26
EOG09265QRR	Ribosomal protein L37ae
EOG09265QTJ	hypothetical protein
EOG09265QTQ	Histone chaperone domain CHZ
EOG09265QTV	SKP1 component, POZ domain
EOG09265QTZ	Transmembrane:Helical
EOG09265QUE	hypothetical protein
EOG09265QUY	hypothetical protein
EOG09265QY3	MIOREX complex component 7
EOG09265QZ8	Transmembrane:Helical
EOG09265R0W	Transmembrane:Helical
EOG09265R1P	Lso1p
EOG09265R2C	Transmembrane:Helical
EOG09265R58	Transmembrane:Helical
EOG09265R5A	Transmembrane:Helical
EOG09265R5X	FAM192A/Fyv6, N-terminal
EOG09265R64	hypothetical protein
EOG09265R65	Transmembrane:Helical
EOG09265R6V	Ribonucleotide reductase inhibitor
EOG09265R6Z	Ribosome-assembly protein 3
EOG09265R70	Transmembrane:Helical
EOG09265R7T	Ribosomal protein L37e
EOG09265R8G	hypothetical protein
EOG09265RB1	Facilitator of iron transport 2
EOG09265RBE	Putative uncharacterized protein YDR034C-A
EOG09265RBX	SWR1 chromatin-remodelling complex, subunit Swc7
EOG09265RC3	CST complex subunit Ten1, fungal
EOG09265RD3	Yeast PIR protein repeat
EOG09265RDG	hypothetical protein
EOG09265RDH	hypothetical protein
EOG09265RDI	hypothetical protein
EOG09265RDS	DNA repair protein, Swi5
EOG09265RGC	Uncharacterized protein YOR161C-C
EOG09265RGI	DASH complex subunit Dad3
EOG09265RGS	Cysteine alpha-hairpin motif superfamily
EOG09265RKE	Ribosomal protein S28e
EOG09265RMI	Transmembrane:Helical
EOG09265RN3	Transmembrane:Helical
EOG09265RNB	Transmembrane:Helical
EOG09265RNI	Transmembrane:Helical
EOG09265RNM	Histone deacetylase complex subunit SAP30/SAP30-like
EOG09265RO5	hypothetical protein
EOG09265ROD	Outer membrane protein, MIM1/TOM13, mitochondrial
EOG09265RPG	Protein phosphatase inhibitor
EOG09265RQ7	hypothetical protein
EOG09265RQ8	Transmembrane:Helical
EOG09265RQM	hypothetical protein
EOG09265RQR	Transmembrane:Helical
EOG09265RRN	Transmembrane:Helical
EOG09265RRW	Transmembrane:Helical
EOG09265RRZ	Ribosomal protein L29e
EOG09265RTB	Altered inheritance of mitochondria protein 3
EOG09265RV8	Ribosomal protein S27e
EOG09265RVS	Fmp16p
EOG09265RWH	Transmembrane:Helical
EOG09265RXF	Transmembrane:Helical
EOG09265RXR	Transmembrane:Helical
EOG09265RYE	Ribosomal protein
EOG09265RYP	Transmembrane:Helical
EOG09265RYQ	hypothetical protein
EOG09265RYW	hypothetical protein
EOG09265S22	RNA polymerase subunit RPABC4/transcription elongation factor Spt4
EOG09265S3B	Dpy-30 motif
EOG09265S3R	DASH complex subunit Hsk3-like
EOG09265S4U	Atg36p
EOG09265S50	hypothetical protein
EOG09265S65	Splicing factor 3B subunit 5/RDS3 complex subunit 10
EOG09265S6B	Transmembrane:Helical
EOG09265S72	Cytochrome c oxidase copper chaperone
EOG09265S78	MICOS complex subunit Mic12
EOG09265S7H	mRNA splicing factor Cwf21 domain
EOG09265S7W	hypothetical protein
EOG09265S9C	hypothetical protein
EOG09265S9I	Ribosomal protein S30
EOG09265SA7	Uncharacterized membrane protein YHR175W-A
EOG09265SB2	Transmembrane:Helical
EOG09265SC2	hypothetical protein
EOG09265SC6	G-patch domain
EOG09265SCC	Uncharacterized protein YJL133C-A
EOG09265SCN	Transcription regulator protein Rtt102
EOG09265SDK	2-deoxy-glucose resistant protein 1, mitochondrial
EOG09265SDM	Transmembrane:Helical
EOG09265SDS	Stationary phase protein 4
EOG09265SE2	Stress-induced protein SRP1/TIP1
EOG09265SE4	hypothetical protein
EOG09265SE5	Transmembrane:Helical
EOG09265SEN	Transmembrane:Helical
EOG09265SF8	Kinetochore subunit NKP2
EOG09265SFT	Glycine zipper 2TM domain
EOG09265SHE	hypothetical protein
EOG09265SHL	Ribosomal protein S25
EOG09265SHM	Mediator complex, subunit Med21
EOG09265SIE	Ribosomal protein L12 family
EOG09265SIZ	WD40 repeat
EOG09265SN0	Transmembrane:Helical
EOG09265SNC	Transmembrane:Helical
EOG09265SOJ	Transmembrane:Helical
EOG09265SPU	Life-span regulatory factor
EOG09265SQB	Transmembrane:Helical
EOG09265SQD	Transmembrane:Helical
EOG09265SQJ	Ribosomal protein L34
EOG09265SRA	hypothetical protein
EOG09265SRT	Zinc-binding ribosomal protein
EOG09265SSE	Protein DAL82
EOG09265SSW	Uncharacterized protein YMR181C
EOG09265STG	Transmembrane:Helical
EOG09265SUV	Transmembrane:Helical
EOG09265SVB	hypothetical protein
EOG09265SW4	hypothetical protein
EOG09265SXD	ATPase, F0 complex, subunit C
EOG09265SY1	Predicted coiled-coil protein (DUF2205)
EOG09265T0K	hypothetical protein
EOG09265T1K	hypothetical protein
EOG09265T1Y	Increased copper sensitivity protein 2
EOG09265T37	hypothetical protein
EOG09265T3Z	Transmembrane:Helical
EOG09265T5E	Transmembrane:Helical
EOG09265T5L	hypothetical protein
EOG09265T6G	hypothetical protein
EOG09265T6N	Cgr1-like
EOG09265T6U	Transmembrane:Helical
EOG09265T7X	Transmembrane:Helical
EOG09265T7Z	hypothetical protein
EOG09265T82	Spo24p
EOG09265T8V	Uncharacterized protein new13
EOG09265T96	Yap1 redox domain
EOG09265T9C	hypothetical protein
EOG09265T9F	A-agglutinin-binding subunit Aga2
EOG09265T9H	Cysteine-rich transmembrane CYSTM domain
EOG09265T9V	hypothetical protein
EOG09265TAJ	Transmembrane:Helical
EOG09265TB1	hypothetical protein
EOG09265TB5	Lso2p
EOG09265TBL	Mfa1p
EOG09265TBY	Transmembrane:Helical
EOG09265TF4	hypothetical protein
EOG09265TGV	Mitochondrial export protein Som1
EOG09265THB	hypothetical protein
EOG09265THV	hypothetical protein
EOG09265THW	hypothetical protein
EOG09265TII	hypothetical protein
EOG09265TIJ	hypothetical protein
EOG09265TIY	hypothetical protein
EOG09265TJX	Mitochondrial ATPase inhibitor
EOG09265TKI	hypothetical protein
EOG09265TL3	Transmembrane:Helical
EOG09265TLK	DNA damage-responsive protein 48
EOG09265TM7	hypothetical protein
EOG09265TMH	Ies4p
EOG09265TO1	Transmembrane:Helical
EOG09265TOM	hypothetical protein
EOG09265TPB	hypothetical protein
EOG09265TPC	Transmembrane:Helical
EOG09265TPQ	Zinc finger, RING/FYVE/PHD-type
EOG09265TQ7	hypothetical protein
EOG09265TTD	hypothetical protein
EOG09265TU5	Transmembrane:Helical
EOG09265TWJ	hypothetical protein
EOG09265TX1	Transmembrane:Helical
EOG09265WO0	hypothetical protein
EOG09265XPP	Transmembrane:Helical
EOG09265YHT	Putative uncharacterized protein YHR145C
EOG09265ZH9	hypothetical protein
EOG09265ZI4	hypothetical protein
EOG09265ZNK	hypothetical protein
EOG09265ZR4	hypothetical protein
EOG0926604I	Protein of unknown function DUF468
EOG092660AG	Transmembrane:Helical
EOG092660Y2	Uncharacterized protein VPS63
EOG09266175	Transmembrane:Helical
EOG092661P9	hypothetical protein
EOG092662FT	hypothetical protein
EOG092662G0	Putative UPF0377 protein YKL223W
EOG092662MO	Uncharacterized protein YDL009C
EOG092662P9	Transmembrane:Helical
EOG0926645W	hypothetical protein
EOG092664YY	Transmembrane:Helical
EOG092665E8	Transmembrane:Helical
EOG092665EG	Transmembrane:Helical
EOG092665NR	hypothetical protein
EOG092666R2	hypothetical protein
EOG092666TV	Transmembrane:Helical
EOG092667CS	hypothetical protein
EOG0926686K	Transmembrane:Helical
EOG092669LB	Transmembrane:Helical
EOG092669SR	hypothetical protein
EOG09266ABD	hypothetical protein
EOG09266ACK	hypothetical protein
EOG09266AK9	hypothetical protein
EOG09266ALR	Putative uncharacterized protein YCL021W
EOG09266B3B	hypothetical protein
EOG09266CQI	Protein YLR162W
EOG092C001Z	Spc7 kinetochore protein domain
EOG092C008E	Transmembrane:Helical
EOG092C00DT	Ras GTPase-activating protein
EOG092C00G1	Transmembrane:Helical
EOG092C00HJ	Similarity:Contains FATC domain.
EOG092C00M0	Transmembrane:Helical
EOG092C00NZ	Dynein heavy chain
EOG092C00Q9	Ribosomal protein L19/L19e
EOG092C00SJ	Armadillo-type fold
EOG092C00SN	Similarity:Contains FATC domain.
EOG092C00SU	CCR4-NOT transcription complex subunit 1, HEAT repeat
EOG092C00TE	Similarity:Contains ATP-grasp domain.
EOG092C00TJ	Glutamate synthase domain
EOG092C00WD	DNA-directed DNA polymerase, family B
EOG092C00X1	Similarity:Contains FATC domain.
EOG092C00XE	Similarity:Contains PIPK domain.
EOG092C00XX	Transmembrane:Helical
EOG092C010Q	Active Site:For beta-ketoacyl synthase activity
EOG092C0114	Dedicator of cytokinesis
EOG092C011F	Proteasome activator Blm10, N-terminal
EOG092C016J	E3 ubiquitin-protein ligase
EOG092C017B	AMP-dependent synthetase/ligase
EOG092C01BH	Pleckstrin homology domain
EOG092C01D2	Zinc finger, UBR-type
EOG092C01JG	WD40 repeat
EOG092C01SD	Zinc finger, UBR-type
EOG092C01T9	Myb domain
EOG092C01UD	DEAD/DEAH box helicase domain
EOG092C01VM	Glycogen debranching enzyme
EOG092C01W6	COPII coat assembly protein, Sec16
EOG092C01XL	Similarity:Contains ARID domain.
EOG092C01XQ	DNA-directed RNA polymerase
EOG092C01ZA	Cell morphogenesis central region
EOG092C022Y	Similarity:Contains ARID domain.
EOG092C025F	Transmembrane:Helical
EOG092C0267	Nucleolar pre-ribosomal-associated protein 1, N-terminal
EOG092C029X	Zinc finger, RING/FYVE/PHD-type
EOG092C02C4	Similarity:Belongs to the ABC transporter superfamily.
EOG092C02CU	Clathrin, heavy chain
EOG092C02J3	SNF2-related, N-terminal domain
EOG092C02JU	3-phosphoshikimate 1-carboxyvinyltransferase
EOG092C02M0	Leucine-rich repeat
EOG092C02NM	Autophagy-related protein 2
EOG092C030N	Similarity:Contains protein kinase domain.
EOG092C0324	Similarity:Contains ATP-grasp domain.
EOG092C0382	Phospholipase D family
EOG092C038B	DNA-directed DNA polymerase, family B
EOG092C038P	Leucine-rich repeat
EOG092C03C5	Transmembrane:Helical
EOG092C03E5	E3 ubiquitin-protein ligase substrate receptor Mms22
EOG092C03J2	Similarity:Contains FH2 (formin homology 2) domain.
EOG092C03KF	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
EOG092C03KT	SEPARIN core domain
EOG092C03LT	DNA-directed DNA polymerase, family A, palm domain
EOG092C03ZV	S1 domain
EOG092C043A	Similarity:Contains N-terminal Ras-GEF domain.
EOG092C043Q	Histone acetyltransferase
EOG092C0466	Nucleoporin Nup188
EOG092C0471	Nucleoprotein TPR/MLP1
EOG092C047S	Rho GTPase activation protein
EOG092C048D	Tetratricopeptide-like helical domain
EOG092C049H	Mediator complex, subunit Med13
EOG092C049W	Transmembrane:Helical
EOG092C04AI	Transcription elongation factor Spt6
EOG092C04AQ	UDP-glucose:Glycoprotein Glucosyltransferase
EOG092C04B8	Anaphase-promoting complex subunit 1
EOG092C04BG	Sister chromatid cohesion C-terminal domain
EOG092C04FX	SAC3/GANP/THP3
EOG092C04JR	Vacuolar membrane-associated protein Iml1
EOG092C04K7	Similarity:Contains myosin motor domain.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II
EOG092C04MF	Pleckstrin homology domain
EOG092C04O3	Mon2, C-terminal
EOG092C04O5	Nucleoporin Nup186/Nup192/Nup205
EOG092C04OY	Similarity:Contains 3 C2 domains.
EOG092C04QA	Similarity:Contains FAD-binding FR-type domain.
EOG092C04TL	Similarity:Contains USP domain.
EOG092C051O	Transmembrane:Helical
EOG092C052Z	Six-hairpin glycosidase-like
EOG092C055E	EF-hand domain
EOG092C057N	Alpha/beta knot methyltransferases
EOG092C059J	Leucine-rich repeat domain, L domain-like
EOG092C05B2	U3 small nucleolar RNA-associated protein 10
EOG092C05D5	WD40-repeat-containing domain
EOG092C05H5	Protein kinase domain
EOG092C05LD	Exocyst complex component Sec3, PIP2-binding N-terminal domain
EOG092C05MJ	Transmembrane:Helical
EOG092C05SJ	Dopey, N-terminal
EOG092C05XJ	THO complex, subunitTHOC2, N-terminal
EOG092C05XT	Transmembrane:Helical
EOG092C063K	Transmembrane:Helical
EOG092C066Z	Similarity:Contains SEC7 domain.
EOG092C067X	Hydantoinase B/oxoprolinase
EOG092C068M	5'-3' exoribonuclease
EOG092C06BI	Proteasome stabiliser ECM29
EOG092C06CQ	Ubiquitin carboxyl-terminal hydrolase
EOG092C06IY	DNA-directed RNA polymerase
EOG092C06MM	SNF5/SMARCB1/INI1
EOG092C06NJ	Similarity:Contains 2 ANK repeats.
EOG092C06QF	ATPase, AAA-type, core
EOG092C06T5	WD40 repeat
EOG092C06XC	Nucleoporin, Nup133/Nup155-like, N-terminal
EOG092C06YM	B-block binding subunit of TFIIIC
EOG092C07A4	TRAPP II complex, Trs120
EOG092C07AQ	P-loop containing nucleoside triphosphate hydrolase
EOG092C07CA	Condensin subunit 1
EOG092C07IO	Peptidase M16 domain
EOG092C07KJ	Transmembrane:Helical
EOG092C07R4	Similarity:Contains 5 ANK repeats.
EOG092C07RJ	WD40-repeat-containing domain
EOG092C07TR	Alpha-mannosidase
EOG092C07V5	AMP-binding, conserved site
EOG092C07WA	Pentatricopeptide repeat
EOG092C0805	Leucine-rich repeat domain, L domain-like
EOG092C082D	WD40 repeat
EOG092C087J	Ankyrin repeat-containing domain
EOG092C08BG	Autophagy-related protein 11
EOG092C08DW	Armadillo-type fold
EOG092C08F5	Phosphoribosylformylglycinamidine synthase
EOG092C08FQ	Similarity:Contains 8 KH domains.
EOG092C08JM	Kelch-type beta propeller
EOG092C08KH	DNA topoisomerase, type IIA
EOG092C08R2	Armadillo-type fold
EOG092C08UT	P-loop containing nucleoside triphosphate hydrolase
EOG092C08ZG	Male sterility, NAD-binding
EOG092C08ZW	DNA repair protein, Rev1
EOG092C0908	Similarity:Contains 1 C2 domain.
EOG092C091L	Transmembrane:Helical
EOG092C0957	ATP-grasp fold
EOG092C0966	Transmembrane:Helical
EOG092C096J	WD40 repeat
EOG092C097K	Aminoacyl-tRNA synthetase, class Ia
EOG092C0997	Armadillo-type fold
EOG092C09G5	Ras GTPase-activating protein
EOG092C09PF	GRAM domain
EOG092C09RX	Similarity:Contains HECT (E6AP-type E3 ubiquitin-protein ligase) domain.
EOG092C09SE	Hid-1/Ecm30
EOG092C09SX	WD40 repeat
EOG092C09V4	WD40 repeat
EOG092C09ZM	Transmembrane:Helical
EOG092C0A5U	DNA-directed RNA polymerase N-terminal domain
EOG092C0A65	Transmembrane:Helical
EOG092C0A93	Ribosome control protein 1
EOG092C0AAM	WD40-repeat-containing domain
EOG092C0AD5	WD40 repeat
EOG092C0AF6	Similarity:Belongs to the peptidase M16 family.
EOG092C0AG1	Active Site:Proton acceptor
EOG092C0AH2	Domain of unknown function DUF1708
EOG092C0AJ1	Similarity:Contains 1 histidine kinase domain.
EOG092C0AK7	Zinc finger, RING-type
EOG092C0ASF	Similarity:Contains 1 basic helix-loop-helix (bHLH) domain.
EOG092C0ATF	Armadillo-type fold
EOG092C0AXA	Peptide hydrolase
EOG092C0B2M	Mediator complex, subunit Med16
EOG092C0B3K	2-oxoglutarate dehydrogenase E1 component
EOG092C0B3U	DNA repair protein
EOG092C0B4M	Tetrahydrofolate dehydrogenase/cyclohydrolase
EOG092C0B8A	Glycoside hydrolase family 31
EOG092C0B8Q	Similarity:Contains helicase ATP-binding domain.
EOG092C0B9L	Zinc finger, C2H2
EOG092C0B9T	Similarity:Contains 1 PH domain.
EOG092C0BAH	Cyclic nucleotide-binding domain
EOG092C0BAM	Armadillo-type fold
EOG092C0BB0	PDZ domain
EOG092C0BBJ	Similarity:Contains 1 SH3 domain.
EOG092C0BFA	BRCT domain
EOG092C0BFY	Pyruvate carboxylase
EOG092C0BGI	Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain
EOG092C0BHV	Nucleoporin FG repeat
EOG092C0BPW	Zinc finger, CCHC-type
EOG092C0BQ4	P-type ATPase
EOG092C0BQT	DNA-directed DNA polymerase, family B
EOG092C0C07	DNA-directed DNA polymerase, family B
EOG092C0C42	MIF4G-like, type 3
EOG092C0C5J	CRM1 C-terminal domain
EOG092C0C7Z	Symplekin/Pta1
EOG092C0CB3	Armadillo-type fold
EOG092C0CBX	Zn(2)-C6 fungal-type DNA-binding domain
EOG092C0CCA	Transmembrane:Helical
EOG092C0CDU	BIR repeat
EOG092C0CF3	Uncharacterised protein family UPF0592
EOG092C0CGO	Armadillo-type fold
EOG092C0CHR	Isoleucine-tRNA ligase
EOG092C0CSP	Tetratricopeptide repeat
EOG092C0CZK	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
EOG092C0D0U	hypothetical protein
EOG092C0D0V	Similarity:Contains 1 F-box domain.
EOG092C0D29	P-loop containing nucleoside triphosphate hydrolase
EOG092C0D2J	Protein kinase domain
EOG092C0D3W	Similarity:Contains fork-head DNA-binding domain.
EOG092C0D3Y	Kynurenine 3-monooxygenase
EOG092C0D4V	Ribosomal protein S5 domain 2-type fold
EOG092C0D5Y	Transmembrane:Helical
EOG092C0DAL	Mad3/Bub1 homology region 1
EOG092C0DDW	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0DDX	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0DFP	DNA replication checkpoint mediator, MRC1 domain
EOG092C0DHA	3'5'-cyclic nucleotide phosphodiesterase
EOG092C0DIQ	Glycogen/starch/alpha-glucan phosphorylase
EOG092C0DKG	Sec23/Sec24 beta-sandwich
EOG092C0DLT	Similarity:Belongs to the peptidase M16 family.
EOG092C0DLV	Transmembrane:Helical
EOG092C0DMA	P-type ATPase
EOG092C0DN9	P-type ATPase
EOG092C0DOI	Zn(2)-C6 fungal-type DNA-binding domain
EOG092C0DQN	Zinc finger, CCCH-type
EOG092C0DQS	Aconitate hydratase, mitochondrial
EOG092C0E1B	PX-associated domain
EOG092C0E1G	Armadillo-type fold
EOG092C0E4A	DEAD/DEAH box helicase domain
EOG092C0E4L	Mediator complex, subunit Med12
EOG092C0E6C	EF-hand domain
EOG092C0E8G	Similarity:Contains DH (DBL-homology) domain.
EOG092C0E9D	WD40 repeat
EOG092C0EE4	Transmembrane:Helical
EOG092C0EF9	Transmembrane:Helical
EOG092C0EFB	NAD-glutamate dehydrogenase
EOG092C0EH3	Zn(2)-C6 fungal-type DNA-binding domain
EOG092C0EHT	Tetratricopeptide repeat
EOG092C0EL4	WD40 repeat
EOG092C0ELQ	Flocculin type 3 repeat
EOG092C0ENZ	CBM21 (carbohydrate binding type-21) domain
EOG092C0EVL	WD40-repeat-containing domain
EOG092C0EWT	DNA mismatch repair protein MutS, N-terminal
EOG092C0EWV	Nucleoporin, Nup133/Nup155-like, N-terminal
EOG092C0EXQ	Armadillo-like helical
EOG092C0F0X	GNAT domain
EOG092C0F17	Zinc finger, PHD-type
EOG092C0F70	Phospholipid methyltransferase
EOG092C0F8J	Tetratricopeptide repeat
EOG092C0FAO	WD40 repeat
EOG092C0FHN	DNA ligase, ATP-dependent
EOG092C0FLY	P-loop containing nucleoside triphosphate hydrolase
EOG092C0FN8	CheY-like superfamily
EOG092C0FSJ	Similarity:Belongs to the cullin family.
EOG092C0FSR	Vps16, C-terminal
EOG092C0FUM	Histidine phosphatase superfamily
EOG092C0FX2	Rapamycin-insensitive companion of mTOR, domain 4
EOG092C0FY3	Kinetochore-Ndc80 subunit Spc24
EOG092C0G13	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0G1J	Transmembrane:Helical
EOG092C0G2X	Similarity:Belongs to the carnitine/choline acetyltransferase family.
EOG092C0G4Y	Nrap protein
EOG092C0GBL	Transmembrane:Helical
EOG092C0GES	AMP deaminase
EOG092C0GJ4	Ankyrin repeat
EOG092C0GMH	Similarity:Contains 1 RGS domain.
EOG092C0GR7	Phosphoinositide phospholipase C
EOG092C0GVO	Sec8 exocyst complex component specific domain
EOG092C0GWR	Similarity:Contains 1 F-box domain.
EOG092C0GYU	Transmembrane:Helical
EOG092C0GZL	Armadillo-type fold
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia
EOG092C0H68	Protein kinase domain
EOG092C0HC0	Armadillo-like helical
EOG092C0HDM	Ras GTPase-activating protein
EOG092C0HGP	Timeless protein
EOG092C0HH3	Protein kinase domain
EOG092C0HJS	SIT4 phosphatase-associated protein family
EOG092C0HLD	P-type ATPase
EOG092C0HLP	SLC26A/SulP transporter
EOG092C0HRG	SAPK-interacting protein 1, Pleckstrin-homology domain
EOG092C0HS8	Winged helix-turn-helix DNA-binding domain
EOG092C0I12	Pep3/Vps18/deep orange
EOG092C0I1B	Eisosome protein 1
EOG092C0I1P	Helicase, C-terminal
EOG092C0I6H	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0I75	Mediator complex, subunit Med5, fungi
EOG092C0I99	Transmembrane:Helical
EOG092C0ICW	Transmembrane:Helical
EOG092C0IFA	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0IGK	Transmembrane:Helical
EOG092C0IJS	Similarity:Contains JmjC domain.
EOG092C0IL5	Glycoside hydrolase, family 5
EOG092C0IPS	Zinc finger, RING/FYVE/PHD-type
EOG092C0IRH	Pyridoxal phosphate-dependent transferase
EOG092C0IXH	Transmembrane:Helical
EOG092C0IY5	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0IZK	P-type ATPase
EOG092C0J3Q	DDT domain
EOG092C0J3Z	Armadillo-type fold
EOG092C0J43	Zinc finger, NHR/GATA-type
EOG092C0JF4	Transmembrane:Helical
EOG092C0JIG	Transmembrane:Helical
EOG092C0JIX	WD40 repeat
EOG092C0JJ9	Tetratricopeptide repeat
EOG092C0JKK	Zn(2)-C6 fungal-type DNA-binding domain
EOG092C0JLO	Similarity:Belongs to the ClpA/ClpB family.
EOG092C0JNP	Mitochondrial protein Pet127
EOG092C0JQ7	Armadillo-like helical
EOG092C0JRR	Nucleoporin interacting component Nup93/Nic96
EOG092C0JT8	Protein-tyrosine-phosphatase
EOG092C0JU2	Similarity:Belongs to the peptidase M3 family.
EOG092C0JUY	DIS3-like exonuclease 2
EOG092C0JYF	IKI3
EOG092C0K07	Heat shock protein 70 family
EOG092C0K2T	Similarity:Contains PI3K/PI4K domain.
EOG092C0K2U	Similarity:Contains 3 C2 domains.
EOG092C0K4D	Coatomer gamma subunit
EOG092C0KB3	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0KBV	Glycoside hydrolase family 63
EOG092C0KCM	Eukaryotic translation initiation factor 3 subunit B
EOG092C0KCP	Forkhead-associated (FHA) domain
EOG092C0KCR	Transmembrane:Helical
EOG092C0KG1	Exocyst complex component Sec6
EOG092C0KHR	PAN2 domain
EOG092C0KMX	Terpene cyclase/mutase family member
EOG092C0KN0	Conserved oligomeric Golgi complex subunit 6
EOG092C0KO1	Transmembrane:Helical
EOG092C0KOT	Transmembrane:Helical
EOG092C0KRF	Transmembrane:Helical
EOG092C0KRK	Armadillo-type fold
EOG092C0KSJ	GYF domain
EOG092C0KWV	Folylpolyglutamate synthetase
EOG092C0KYA	Leucine-rich repeat domain, L domain-like
EOG092C0KYC	Similarity:Contains 1 reverse transcriptase domain.
EOG092C0L0F	Zinc finger, RING-type
EOG092C0L57	Dynamin-type guanine nucleotide-binding (G) domain
EOG092C0LAB	Rho GTPase activation protein
EOG092C0LBP	Similarity:Contains SPX domain.
EOG092C0LDC	Alpha,alpha-trehalose-phosphate synthase
EOG092C0LDD	F-box domain
EOG092C0LN1	Cobalamin-independent methionine synthase
EOG092C0LOE	ATP-dependent 6-phosphofructokinase
EOG092C0LOO	Peptidase S64, Ssy5
EOG092C0LRK	Nucleic acid-binding, OB-fold
EOG092C0LSK	Zn(2)-C6 fungal-type DNA-binding domain
EOG092C0LUS	Transmembrane:Helical
EOG092C0LV2	Gamma-tubulin complex component protein
EOG092C0M0V	Zn(2)-C6 fungal-type DNA-binding domain
EOG092C0M39	Condensin complex subunit 3
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal
EOG092C0M6T	Transmembrane:Helical
EOG092C0M8D	Pumilio RNA-binding repeat
EOG092C0M95	NUDIX hydrolase domain
EOG092C0MAW	WD40/YVTN repeat-like-containing domain
EOG092C0MFS	DNA polymerase V
EOG092C0MI9	Ribonucleotide reductase, transcriptional regulator Crt10
EOG092C0MIY	Transmembrane:Helical
EOG092C0MJY	Protein kinase domain
EOG092C0MJZ	Vacuole morphology and inheritance protein 14
EOG092C0MNP	Metallo-beta-lactamase
EOG092C0MOC	Transmembrane:Helical
EOG092C0MR8	Similarity:Contains 1 F-box domain.
EOG092C0MRM	ATP-dependent RNA helicase Ski2
EOG092C0MY0	Zinc finger, C2H2
EOG092C0MZB	WD40 repeat
EOG092C0MZS	Glycosyl hydrolase family 63, N-terminal
EOG092C0N3E	Zinc finger, RING/FYVE/PHD-type
EOG092C0N3X	DNA topoisomerase I
EOG092C0NB2	Transmembrane:Helical
EOG092C0NHH	Rab-GTPase-TBC domain
EOG092C0NLP	Transcription factor CRF1/IFH1
EOG092C0NMF	Transmembrane:Helical
EOG092C0NN4	Mediator complex, subunit Med14
EOG092C0NOJ	MIF4G-like domain
EOG092C0NOV	Bck2p
EOG092C0NOX	Catalase, mono-functional, haem-containing
EOG092C0NQK	Zinc finger, PHD-type
EOG092C0NTV	TRAPP II complex, TRAPPC10
EOG092C0NX0	Arrestin C-terminal-like domain
EOG092C0NXU	Domain of unknown function DUF814
EOG092C0NXV	Armadillo-like helical
EOG092C0NZM	Nuclear pore protein 84/107
EOG092C0O35	Zinc finger, FYVE/PHD-type
EOG092C0O9I	Ubiquitin conjugation factor E4, core
EOG092C0OA7	Transcription elongation factor Spt5
EOG092C0OB0	Exocyst complex subunit Sec15-like
EOG092C0OC7	Transmembrane:Helical
EOG092C0OH2	Armadillo-type fold
EOG092C0OHE	Pyoverdine biosynthesis
EOG092C0ORB	Zinc finger, RING-type
EOG092C0ORX	UvrD-like Helicase, ATP-binding domain
EOG092C0OSY	RNA polymerase I-specific transcription initiation factor Rrn6
EOG092C0OTH	Glutamyl/glutaminyl-tRNA synthetase
EOG092C0OUJ	Similarity:Contains 2 ANK repeats.
EOG092C0OX1	Transmembrane:Helical
EOG092C0OYH	Actin patch protein 1
EOG092C0OZE	Transmembrane:Helical
EOG092C0OZO	Paired amphipathic helix
EOG092C0P3I	CAS/CSE, C-terminal
EOG092C0PA0	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092C0PBV	Armadillo-type fold
EOG092C0PDA	Armadillo-type fold
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase
EOG092C0PG1	Protein kinase domain
EOG092C0PH8	Protein Fyv8
EOG092C0PJB	Similarity:Contains RING-type zinc finger.
EOG092C0PJW	Tetratricopeptide-like helical domain
EOG092C0PTF	Protein kinase domain
EOG092C0PTJ	WHIM1 domain
EOG092C0PVP	MIF4G-like, type 1
EOG092C0PWZ	Inositol polyphosphate kinase
EOG092C0PZJ	Transmembrane:Helical
EOG092C0Q10	T-complex 11
EOG092C0Q2O	THO complex, subunit THOC1
EOG092C0Q78	Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
