ortho_cluster;name_cluster
EOG092700FM;WD40 repeat
EOG092700FO;Gelsolin-like domain
EOG092700FP;Cobalamin-independent methionine synthase
EOG092700FQ;Condensin complex subunit 3
EOG092700FR;Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
EOG092700FS;tRNA ligase, kinase, fungi
EOG092700FT;Transmembrane:Helical
EOG092700FU;Similarity:Contains N-terminal Ras-GEF domain.
EOG092700FV;Oxysterol-binding protein
EOG092700FW;Glycoside hydrolase family 31
EOG092700FX;DENN domain
EOG092700FY;Kelch-type beta propeller
EOG092700FZ;Transmembrane:Helical
EOG092700G0;Indole-3-glycerol phosphate synthase
EOG092700G2;sporulation protein Spo3
EOG092700G3;Metallo-beta-lactamase
EOG092700G4;Uncharacterized protein C17D1.07c
EOG092700G5;SIT4 phosphatase-associated protein family
EOG092700G6;Terpene cyclase/mutase family member
EOG092700G7;Hydroxymethylglutaryl-CoA reductase, class I/II
EOG092700G8;Lon protease
EOG092700G9;sequence orphan
EOG092700GA;Peptide hydrolase
EOG092700GB;Similarity:Contains JmjC domain.
EOG092700GC;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700GE;Glutamyl/glutaminyl-tRNA synthetase
EOG092700GF;WD40-repeat-containing domain
EOG092700GH;Transmembrane:Helical
EOG092700GI;DNA helicase
EOG092700GJ;DIS3-like exonuclease 2
EOG092700GK;ATP-dependent 6-phosphofructokinase
EOG092700GL;Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain
EOG092700GM;siRNA-mediated silencing protein NRDE-2
EOG092700GO;Glycoside hydrolase, family 37
EOG092700GP;Tetratricopeptide repeat
EOG092700GR;Rab-GTPase-TBC domain
EOG092700GS;Similarity:Contains SPX domain.
EOG092700GT;Similarity:Belongs to the ABC transporter superfamily.
EOG092700GU;Catalytic Activity:ATP + H(2)O = ADP + phosphate.
EOG092700GV;Similarity:Contains SWIRM domain.
EOG092700GW;Telomere length regulation protein, conserved domain
EOG092700GX;K Homology domain
EOG092700GY;Similarity:Contains PI3K/PI4K domain.
EOG092700GZ;WD40 repeat
EOG092700H1;Aminoacyl-tRNA synthetase, class II
EOG092700H3;Zinc finger, FYVE/PHD-type
EOG092700H4;WD40 repeat
EOG092700H5;Mei4-dependent protein 6
EOG092700H7;Gamma-tubulin complex component protein
EOG092700H8;protein efr3
EOG092700H9;Transmembrane:Helical
EOG092700HA;Ubiquitin specific protease domain
EOG092700HC;Cysteine-tRNA ligase
EOG092700HE;Protein kinase domain
EOG092700HG;WD40 repeat
EOG092700HI;WD40 repeat
EOG092700HJ;Similarity:Contains SPX domain.
EOG092700HK;SAC domain
EOG092700HL;Temperature dependent protein affecting M2 dsRNA replication, N-terminal
EOG092700HM;Actin family
EOG092700HP;Transmembrane:Helical
EOG092700HQ;Similarity:Belongs to the cullin family.
EOG092700HR;Kinesin-like protein
EOG092700HS;Hid-1/Ecm30
EOG092700HT;Transmembrane:Helical
EOG092700HV;Similarity:Contains F-BAR domain.
EOG092700HW;Transmembrane:Helical
EOG092700HX;Copper amine oxidase
EOG092700HZ;ATPase, AAA-type, core
EOG092700I0;Eukaryotic translation initiation factor 3 subunit C
EOG092700I1;Pentatricopeptide repeat
EOG092700I2;Dynamin-type guanine nucleotide-binding (G) domain
EOG092700I5;Peroxisome biogenesis factor 1
EOG092700I6;Similarity:Contains DH (DBL-homology) domain.
EOG092700I7;ATPase, AAA-type, core
EOG092700I8;Similarity:Contains 6 ANK repeats.
EOG092700I9;Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3
EOG092700IA;Transmembrane:Helical
EOG092700IC;Anaphase-promoting complex subunit 5
EOG092700IE;nucleoporin Nup146
EOG092700IF;RNA recognition motif domain
EOG092700IG;Bms1/Tsr1-type G domain
EOG092700IH;Mitochondrial escape protein 2
EOG092700II;mediator complex subunit Srb9
EOG092700IK;Symplekin/Pta1
EOG092700IM;Gelsolin-like domain
EOG092700IN;Winged helix-turn-helix DNA-binding domain
EOG092700IO;Transmembrane:Helical
EOG092700IP;N-acetyltransferase B complex, non-catalytic subunit
EOG092700IQ;Dynamin, GTPase domain
EOG092700IR;Similarity:Belongs to the peptidase M3 family.
EOG092700IS;DNA ligase, ATP-dependent
EOG092700IV;Vacuolar protein sorting-associated protein 16
EOG092700IY;Tetratricopeptide repeat
EOG092700IZ;Meiotic recombination protein rec11
EOG092700J0;ALIX V-shaped domain
EOG092700J3;Tryptophan synthase, beta chain
EOG092700J4;Sfi1 spindle body
EOG092700J5;Metallo-beta-lactamase
EOG092700J6;Protein kinase domain
EOG092700J7;Protein kinase domain
EOG092700J8;Aminoacyl-tRNA synthetase, class II
EOG092700JB;Similarity:Contains N-terminal Ras-GEF domain.
EOG092700JC;Eukaryotic translation initiation factor 3 subunit A
EOG092700JD;Transmembrane:Helical
EOG092700JE;Transmembrane:Helical
EOG092700JF;Acetate-CoA ligase
EOG092700JG;Phox homologous domain
EOG092700JH;DNA helicase
EOG092700JJ;RNA recognition motif domain
EOG092700JK;DNA helicase
EOG092700JL;Succinate dehydrogenase, flavoprotein subunit
EOG092700JM;Similarity:Contains SPX domain.
EOG092700JN;Leucine-rich repeat domain, L domain-like
EOG092700JO;Transmembrane:Helical
EOG092700JP;Transmembrane:Helical
EOG092700JR;Transmembrane:Helical
EOG092700JS;Tetratricopeptide repeat
EOG092700JT;N1221-like
EOG092700JU;Elongation factor G, III-V domain
EOG092700JV;Similarity:Contains 1 PH domain.
EOG092700JW;alpha-1,2-Mannosidase
EOG092700JX;Uncharacterized protein C11G11.07
EOG092700JY;Exportin/Importin, Cse1-like
EOG092700K1;AAA+ ATPase domain
EOG092700K2;tRNA (cytosine-5-)-methyltransferase
EOG092700K4;EF-hand domain
EOG092700K5;Similarity:Contains 1 SH3 domain.
EOG092700K6;Exocyst complex component EXOC2/Sec5
EOG092700KA;Telomerase activating protein Est1
EOG092700KB;MIF4G-like, type 1
EOG092700KC;Protein kinase domain
EOG092700KD;mitochondrial PPR repeat protein Ppr1
EOG092700KE;Conserved oligomeric Golgi complex, subunit 4
EOG092700KF;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700KH;ATPase, AAA-type, core
EOG092700KI;Elongation factor G, III-V domain
EOG092700KL;WD40 repeat
EOG092700KM;S-adenosyl-L-methionine-dependent methyltransferase
EOG092700KN;Protein kinase domain
EOG092700KO;Protein kinase domain
EOG092700KP;Methylenetetrahydrofolate reductase
EOG092700KR;Transmembrane:Helical
EOG092700KS;SANT/Myb domain
EOG092700KT;Leucine-rich repeat
EOG092700KU;Translation elongation factor EFTu/EF1A, domain 2
EOG092700KX;Helicase, C-terminal
EOG092700KZ;Armadillo-like helical
EOG092700L0;Similarity:Contains LisH domain.
EOG092700L1;Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3
EOG092700L2;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700L3;Inner centromere protein, ARK-binding domain
EOG092700L5;Armadillo
EOG092700L7;Similarity:Contains FCP1 homology domain.
EOG092700L8;ATPase, F1 complex beta subunit/V1 complex, C-terminal
EOG092700L9;Rab-GTPase-TBC domain
EOG092700LA;Catalytic Activity:ATP + H(2)O = ADP + phosphate.
EOG092700LB;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700LC;Similarity:Contains 1 PH domain.
EOG092700LD;Vps53-like, N-terminal
EOG092700LE;Uncharacterised protein family UPF0592
EOG092700LF;Transmembrane:Helical
EOG092700LG;ATPase, V0 complex, subunit 116kDa, eukaryotic
EOG092700LI;Dynamin, GTPase domain
EOG092700LJ;WD40 repeat
EOG092700LK;Transmembrane:Helical
EOG092700LL;RNA polymerase I-specific transcription initiation factor RRN6-like
EOG092700LP;Similarity:Contains LisH domain.
EOG092700LR;Ribosomal protein S5 domain 2-type fold
EOG092700LS;Similarity:Contains helicase ATP-binding domain.
EOG092700LT;Similarity:Belongs to the ABC transporter superfamily.
EOG092700LU;Autophagy-related protein 13
EOG092700LV;Transmembrane:Helical
EOG092700LW;Aminoacyl-tRNA synthetase, class II
EOG092700LX;Transmembrane:Helical
EOG092700LY;DNA repair protein
EOG092700LZ;Similarity:Belongs to the cullin family.
EOG092700M0;GYF domain
EOG092700M1;Tetratricopeptide repeat
EOG092700M3;Helicase, C-terminal
EOG092700M4;Thiamine pyrophosphate enzyme, central domain
EOG092700M5;Similarity:Contains HECT (E6AP-type E3 ubiquitin-protein ligase) domain.
EOG092700M7;Nucleolar protein 14
EOG092700M8;Six-hairpin glycosidase-like
EOG092700M9;Transmembrane:Helical
EOG092700MA;Transmembrane:Helical
EOG092700MC;Pep5-like zinc finger protein C16A10.03c
EOG092700ME;SET domain
EOG092700MG;Heat shock protein 70 family
EOG092700MH;Leukotriene A4 hydrolase
EOG092700MJ;Eukaryotic translation initiation factor 3 subunit B
EOG092700MK;Transmembrane:Helical
EOG092700ML;Transmembrane:Helical
EOG092700MM;AAA+ ATPase domain
EOG092700MN;Arginine-tRNA ligase
EOG092700MO;Heat shock protein Hsp90, N-terminal
EOG092700MP;AMP-dependent synthetase/ligase
EOG092700MQ;Phosphoribosylglycinamide synthetase
EOG092700MR;Meiotic coiled-coil protein 2
EOG092700MS;Protein kinase domain
EOG092700MT;K Homology domain
EOG092700MU;Transmembrane:Helical
EOG092700MX;WD40 repeat
EOG092700MY;UDP-glucose 4-epimerase Uge1
EOG092700MZ;Kinesin-like protein
EOG092700N0;Transmembrane:Helical
EOG092700N2;RNA recognition motif domain
EOG092700N3;DDHD domain
EOG092700N5;conserved fungal protein
EOG092700N6;Similarity:Contains ARID domain.
EOG092700N7;Similarity:Contains 1 PH domain.
EOG092700N8;Similarity:Contains 1 F-box domain.
EOG092700NA;Ribonuclease P/MRP, subunit POP1
EOG092700NB;Phosphatidylinositol-4-phosphate 5-kinase
EOG092700NC;Similarity:Contains 1 F-box domain.
EOG092700NE;DNA ligase, ATP-dependent
EOG092700NF;SNF2-related, N-terminal domain
EOG092700NG;DNA topoisomerase, type IA
EOG092700NI;Nuclear pore protein 84/107
EOG092700NJ;Ribosomal protein S5 domain 2-type fold
EOG092700NM;U3 small nucleolar RNA-associated protein 8
EOG092700NN;Sda1
EOG092700NO;Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archae/euk cytosolic
EOG092700NP;EF-hand domain
EOG092700NQ;Sec1-like protein
EOG092700NT;BRCT domain
EOG092700NW;Methylenetetrahydrofolate reductase
EOG092700NX;NAD(+) synthetase
EOG092700NZ;Sec39 domain
EOG092700O0;Ku80
EOG092700O2;Armadillo-type fold
EOG092700O3;Ras GTPase-activating protein
EOG092700O4;Creatinase, N-terminal
EOG092700O5;Tetratricopeptide-like helical domain
EOG092700O6;Similarity:Belongs to the DEAD box helicase family.
EOG092700O7;Bms1/Tsr1-type G domain
EOG092700O8;Protein kinase domain
EOG092700O9;Peptidase S10, serine carboxypeptidase
EOG092700OA;DDHD domain
EOG092700OB;Tetratricopeptide-like helical domain
EOG092700OC;Anaphase-promoting complex subunit 4
EOG092700OD;Transmembrane:Helical
EOG092700OE;Similarity:Contains JmjC domain.
EOG092700OF;Transmembrane:Helical
EOG092700OG;ABC transporter ABCE
EOG092700OI;translation initiation factor eIF2B epsilon subunit (predicted)
EOG092700OJ;Protein kinase domain
EOG092700OK;AP complex subunit beta
EOG092700OL;Transmembrane:Helical
EOG092700OM;Kinetochore protein Ndc80
EOG092700ON;Similarity:Contains ARID domain.
EOG092700OO;Protein kinase domain
EOG092700OP;CDC45 family
EOG092700OQ;2-isopropylmalate synthase
EOG092700OT;transcription factor (predicted)
EOG092700OV;Similarity:Contains 2 LIM zinc-binding domains.
EOG092700OY;Sec1-like protein
EOG092700OZ;Transmembrane:Helical
EOG092700P0;Jacalin-like lectin domain
EOG092700P1;Dihydropteroate synthase
EOG092700P2;Similarity:Contains 2 LIM zinc-binding domains.
EOG092700P3;Vacuolar protein sorting-associated protein 35
EOG092700P4;Exocyst complex component Sec3, PIP2-binding N-terminal domain
EOG092700P5;Pseudouridine synthase, TruD
EOG092700P6;AICAR transformylase domain
EOG092700P7;Transmembrane:Helical
EOG092700P9;Exocyst complex subunit Sec15-like
EOG092700PB;Protein kinase domain
EOG092700PC;Protein kinase domain
EOG092700PD;HEAT, type 2
EOG092700PF;WD40 repeat
EOG092700PI;conserved fungal protein
EOG092700PK;Protein arginine N-methyltransferase
EOG092700PL;Transketolase binding site
EOG092700PM;Transmembrane:Helical
EOG092700PO;DNA replication checkpoint mediator, MRC1 domain
EOG092700PP;Peptidase S9, prolyl oligopeptidase, catalytic domain
EOG092700PS;Glycosyl hydrolase, family 13, catalytic domain
EOG092700PT;Ubiquitin-like modifier-activating enzyme Atg7
EOG092700PU;Armadillo-type fold
EOG092700PY;Similarity:Belongs to the cullin family.
EOG092700Q0;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700Q2;Glutamine amidotransferase type 2 domain
EOG092700Q4;Heat shock protein 70 family
EOG092700Q6;Pseudouridine-5'-phosphate glycosidase
EOG092700Q7;FF domain
EOG092700Q8;nucleoporin Nup124
EOG092700QA;Peptidase S8, subtilisin,  Asp-active site
EOG092700QB;Similarity:Belongs to the ABC transporter superfamily.
EOG092700QG;Heat shock protein 70 family
EOG092700QH;U3 small nucleolar RNA-associated protein 25
EOG092700QI;Protein kinase-like domain
EOG092700QJ;AAA+ ATPase domain
EOG092700QK;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700QL;Lysophospholipase
EOG092700QM;Tetratricopeptide repeat
EOG092700QN;Similarity:Contains 1 PH domain.
EOG092700QO;Electron transfer flavoprotein-ubiquinone oxidoreductase
EOG092700QP;Armadillo-type fold
EOG092700QQ;Similarity:Belongs to the ABC transporter superfamily.
EOG092700QS;Transmembrane:Helical
EOG092700QV;Protein kinase domain
EOG092700QW;Mei4-dependent protein 7
EOG092700QX;GTP binding domain
EOG092700QY;Similarity:Contains SEC7 domain.
EOG092700QZ;P-loop containing nucleoside triphosphate hydrolase
EOG092700R0;Transmembrane:Helical
EOG092700R1;Citrate synthase
EOG092700R4;Uncharacterized transcriptional regulatory protein C777.02
EOG092700R5;fanconi-associated nuclease 1
EOG092700R7;Vacuole morphology and inheritance protein 14
EOG092700R8;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700RA;Pyridoxal phosphate-dependent transferase
EOG092700RB;Myb-like domain
EOG092700RC;Ubiquitin specific protease domain
EOG092700RD;SNF2-related, N-terminal domain
EOG092700RE;DNA helicase
EOG092700RF;Heat shock protein 70 family
EOG092700RG;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700RH;sequence orphan
EOG092700RI;Microtubule-associated protein, MAP65/Ase1/PRC1
EOG092700RK;Stress response protein NST1
EOG092700RL;Transmembrane:Helical
EOG092700RM;Zinc finger, PHD-type
EOG092700RN;Protein kinase domain
EOG092700RO;Similarity:Contains helicase ATP-binding domain.
EOG092700RP;Domain of unknown function DUF1708
EOG092700RQ;Caffeine-induced protein 16
EOG092700RU;RNA recognition motif domain
EOG092700RX;Protein kinase domain
EOG092700RY;Actin family
EOG092700RZ;Glucose-6-phosphate isomerase
EOG092700S0;Pumilio RNA-binding repeat
EOG092700S1;Armadillo-like helical
EOG092700S2;Urea active transporter
EOG092700S4;Kinesin-like protein
EOG092700S5;telomere maintenance protein Ccq1
EOG092700S6;Transmembrane:Helical
EOG092700S7;tRNase Z endonuclease
EOG092700S8;Kinesin-like protein
EOG092700SA;Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
EOG092700SB;Transcription factor IIIC, 90kDa subunit, N-terminal
EOG092700SD;Transmembrane:Helical
EOG092700SE;6-phosphofructo-2-kinase
EOG092700SF;Histone deacetylase class II, yeast
EOG092700SH;Transmembrane:Helical
EOG092700SI;Ulp1 protease family, C-terminal catalytic domain
EOG092700SK;Transmembrane:Helical
EOG092700SL;Arrestin C-terminal-like domain
EOG092700SN;EF-hand domain pair
EOG092700SO;Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
EOG092700SQ;Transmembrane:Helical
EOG092700SS;Transmembrane:Helical
EOG092700ST;AP complex subunit beta
EOG092700SU;Nitrogen permease regulator 3
EOG092700SV;Similarity:Belongs to the ABC transporter superfamily.
EOG092700SW;Cep57 centrosome microtubule-binding domain
EOG092700SX;WD40 repeat
EOG092700SY;Transmembrane:Helical
EOG092700SZ;Similarity:Contains 2 SH3 domains.
EOG092700T1;Similarity:Belongs to the chaperonin (HSP60) family.
EOG092700T2;Glycosyl hydrolase, family 13, catalytic domain
EOG092700T3;Thioredoxin-like fold
EOG092700T4;RNA recognition motif domain
EOG092700T5;Arrestin C-terminal-like domain
EOG092700T6;Winged helix-turn-helix DNA-binding domain
EOG092700T8;Nucleic acid-binding, OB-fold
EOG092700TA;Pyridoxal phosphate-dependent transferase
EOG092700TB;UPF0590 protein C594.01
EOG092700TC;nucleoporin Nup131
EOG092700TD;Similarity:Contains 2 ANK repeats.
EOG092700TE;Endoribonuclease L-PSP/chorismate mutase-like
EOG092700TF;Exocyst complex component Sec6
EOG092700TG;RNA recognition motif domain
EOG092700TH;Conserved oligomeric Golgi complex subunit 6
EOG092700TK;GMP synthase
EOG092700TL;Thymidylate synthase
EOG092700TM;Protein kinase domain
EOG092700TN;Meiotically up-regulated gene 4 protein
EOG092700TO;Transmembrane:Helical
EOG092700TP;Delta-1-pyrroline-5-carboxylate dehydrogenase
EOG092700TR;tRNase Z endonuclease
EOG092700TS;Tetratricopeptide repeat-containing domain
EOG092700TU;Origin recognition complex, subunit 3
EOG092700TV;Lysophospholipase
EOG092700TY;UPF0061 family protein
EOG092700TZ;Sin1, middle CRIM domain
EOG092700U1;Bromodomain
EOG092700U3;T-complex protein 1 subunit alpha
EOG092700U4;Zinc finger, RING-type
EOG092700U5;Asparagine synthase
EOG092700U6;RNA polymerase III subunit RPC82-related, helix-turn-helix
EOG092700U7;Protein kinase domain
EOG092700U8;TBC domain-containing protein C4G8.04
EOG092700U9;meiotic recombination protein Rec10
EOG092700UA;Threonine deaminase
EOG092700UB;Similarity:Contains ARID domain.
EOG092700UC;P-type ATPase
EOG092700UD;Poly(A) polymerase
EOG092700UH;Armadillo
EOG092700UI;UbiB domain
EOG092700UJ;T-complex protein 1 subunit gamma
EOG092700UK;Similarity:Contains helicase ATP-binding domain.
EOG092700UL;Zinc finger, RING-type
EOG092700UN;Serine/threonine-protein phosphatase
EOG092700UO;SH3 domain-containing protein
EOG092700UP;Transmembrane:Helical
EOG092700US;Aminoacyl-tRNA synthetase, class II
EOG092700UV;DNA topoisomerase I
EOG092700UW;Bromodomain
EOG092700UX;THO complex, subunit THOC1
EOG092700UY;Inositol-pentakisphosphate 2-kinase
EOG092700V0;Transmembrane:Helical
EOG092700V1;Imidazole glycerol phosphate synthase HisHF
EOG092700V2;Sec1-like protein
EOG092700V3;Similarity:Belongs to the cullin family.
EOG092700V4;Dihydroxy-acid dehydratase
EOG092700V6;Biotin--acetyl-CoA-carboxylase ligase
EOG092700V7;Folliculin-interacting protein, N-terminal domain
EOG092700V8;Similarity:Contains 1 F-box domain.
EOG092700V9;Similarity:Contains 1 SH3 domain.
EOG092700VA;Protein kinase domain
EOG092700VB;Protein kinase domain
EOG092700VC;NADPH-cytochrome P450 reductase
EOG092700VD;Similarity:Belongs to the TCP-1 chaperonin family.
EOG092700VE;Tetratricopeptide repeat-containing domain
EOG092700VG;WD40 repeat
EOG092700VH;Pumilio RNA-binding repeat
EOG092700VI;Phosphatidylinositol 3-/4-kinase, catalytic domain
EOG092700VJ;Armadillo-type fold
EOG092700VL;Similarity:Contains 1 SH3 domain.
EOG092700VN;Transmembrane:Helical
EOG092700VO;Transmembrane:Helical
EOG092700VQ;Cytochrome P450
EOG092700VR;Transmembrane:Helical
EOG092700VS;Similarity:Contains 3 SH3 domains.
EOG092700VT;Similarity:Belongs to the TCP-1 chaperonin family.
EOG092700VU;Importin subunit alpha
EOG092700VV;Similarity:Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
EOG092700VY;Nucleolar GTP-binding protein 1
EOG092700VZ;Similarity:Contains 1 F-box domain.
EOG092700W0;Rad4 beta-hairpin domain 2
EOG092700W2;Protein kinase domain
EOG092700W4;ATP-grasp fold
EOG092700W5;transcription factor Gaf1
EOG092700W8;Zinc finger protein C725.08
EOG092700W9;E3 SUMO protein ligase
EOG092700WB;Transmembrane:Helical
EOG092700WC;ARM-like repeat-containing protein
EOG092700WD;Transmembrane:Helical
EOG092700WE;Rad4 beta-hairpin domain 2
EOG092700WF;Thiamine pyrophosphate enzyme, central domain
EOG092700WH;T-complex protein 1, delta subunit
EOG092700WI;Similarity:Contains protein kinase domain.
EOG092700WK;Histidine-tRNA ligase
EOG092700WM;SLC26A/SulP transporter
EOG092700WN;Oxoglutarate/iron-dependent dioxygenase
EOG092700WO;F-box protein Pof2
EOG092700WP;Tetratricopeptide repeat
EOG092700WQ;Transmembrane:Helical
EOG092700WR;Transmembrane:Helical
EOG092700WT;ATPase, F1 complex beta subunit/V1 complex, C-terminal
EOG092700WU;Helicase, C-terminal
EOG092700WV;WD40 repeat
EOG092700WW;Chloride channel, voltage gated
EOG092700WX;WD40 repeat
EOG092700X0;Exonuclease, RNase T/DNA polymerase III
EOG092700X2;Origin recognition complex subunit 4
EOG092700X3;UBA domain-containing protein 6
EOG092700X5;Transmembrane:Helical
EOG092700X6;Protein kinase domain
EOG092700X7;ACT domain
EOG092700X8;Transcription factor 25
EOG092700X9;Centromere protein I
EOG092700XC;gluconate transporter inducer Gti1
EOG092700XD;Aldehyde dehydrogenase domain
EOG092700XE;Dihydrolipoyl dehydrogenase
EOG092700XH;Acetyl-CoA hydrolase/transferase
EOG092700XJ;Similarity:Contains 1 F-box domain.
EOG092700XK;RNA recognition motif domain
EOG092700XM;Transmembrane:Helical
EOG092700XN;Aminoacyl-tRNA synthetase, class II (D/K/N)
EOG092700XO;Alkaline phosphatase-like, alpha/beta/alpha
EOG092700XQ;Similarity:Belongs to the TCP-1 chaperonin family.
EOG092700XS;Protein kinase domain
EOG092700XT;Zinc finger, RING-type
EOG092700XU;RNA recognition motif domain
EOG092700XV;Similarity:Belongs to the DEAD box helicase family.
EOG092700XW;Transmembrane:Helical
EOG092700XY;ATPase, AAA-type, core
EOG092700XZ;Alpha,alpha-trehalose-phosphate synthase
EOG092700Y1;Protein kinase domain
EOG092700Y2;Dihydroxyacetone kinase
EOG092700Y3;Hamartin
EOG092700Y4;Transmembrane:Helical
EOG092700Y5;Similarity:Contains 1 PH domain.
EOG092700Y7;CUE domain-containing protein C354.10
EOG092700Y8;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700Y9;Ubiquitin-activating enzyme, E1, active site
EOG092700YB;Similarity:Contains Zn(2)-C6 fungal-type DNA-binding domain.
EOG092700YD;Transmembrane:Helical
EOG092700YE;Threonine synthase, N-terminal
EOG092700YF;Peptidase M17, leucyl aminopeptidase, C-terminal
EOG092700YI;6-phosphofructo-2-kinase
EOG092700YK;Similarity:Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.
EOG092700YL;EF-hand domain
EOG092700YM;DNA repair metallo-beta-lactamase
EOG092700YO;PX-associated domain
EOG092700YP;Similarity:Belongs to the DEAD box helicase family.
EOG092700YQ;Glycosyl hydrolase, family 13, catalytic domain
EOG092700YS;Transmembrane:Helical
EOG092700YT;RING finger protein
EOG092700YU;WD40 repeat
EOG092700YV;Importin subunit alpha
EOG092700YX;Sec1-like protein
EOG092700YY;WD40 repeat
EOG092700YZ;Transmembrane:Helical
EOG092700Z1;Cwf19-like, C-terminal domain-1
EOG092700Z4;Alpha/Beta hydrolase fold
EOG092700Z6;Transmembrane:Helical
EOG092700Z7;Inosine-5'-monophosphate dehydrogenase
EOG092700Z9;Transmembrane:Helical
EOG092700ZA;Thiamin pyrophosphokinase
EOG092700ZC;Protein Sls1
EOG092700ZD;Transmembrane:Helical
EOG092700ZF;Cytochrome P450
EOG092700ZG;Carbohydrate kinase, FGGY, N-terminal
EOG092700ZK;ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
EOG092700ZL;Similarity:Contains 1 Rieske domain.
EOG092700ZM;Tetratricopeptide repeat
EOG092700ZN;Transmembrane:Helical
EOG092700ZO;Zinc finger, C2H2
EOG092700ZP;DNA polymerase alpha, subunit B
EOG092700ZR;Tetratricopeptide repeat
EOG092700ZS;TFIIH subunit Tfb1/p62
EOG092700ZT;Nucleolar complex-associated protein 3
EOG092700ZU;Rho GTPase activation protein
EOG092700ZV;Blt1
EOG092700ZW;Transmembrane:Helical
EOG092700ZX;Malic enzyme
EOG092700ZY;tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
EOG09270101;Transmembrane:Helical
EOG09270102;RNA recognition motif domain
EOG09270103;Transmembrane:Helical
EOG09270104;WD40 repeat
EOG09270105;Glutamate-cysteine ligase catalytic subunit
EOG09270107;Hid-1/Ecm30
EOG09270109;Glycoside hydrolase, family 32
EOG0927010A;Similarity:Contains fork-head DNA-binding domain.
EOG0927010B;transcription factor (predicted)
EOG0927010C;Outer membrane protein  Iml2/Tetratricopeptide repeat protein 39
EOG0927010D;Transmembrane:Helical
EOG0927010E;Pumilio domain-containing protein C6G9.14
EOG0927010F;Tetratricopeptide repeat
EOG0927010G;5'-Nucleotidase/apyrase
EOG0927010H;Similarity:Contains 2 ANK repeats.
EOG0927010I;RNA recognition motif domain
EOG0927010J;Similarity:Contains JmjC domain.
EOG0927010K;WD40 repeat
EOG0927010M;Similarity:Belongs to the PTR2/POT transporter (TC 2.A.17) family.
EOG0927010O;Transmembrane:Helical
EOG0927010P;WD40 repeat
EOG0927010U;Adenylosuccinate lyase
EOG0927010W;Protein kinase domain
EOG0927010X;Protein kinase domain
EOG0927010Y;Heat shock protein 70 family
EOG0927010Z;Radical SAM
EOG09270110;Aldehyde dehydrogenase domain
EOG09270111;Pseudouridine synthase I, TruA
EOG09270112;UPF0588 membrane protein C20F10.02c
EOG09270113;Transmembrane:Helical
EOG09270114;Neurochondrin
EOG09270115;Zinc finger, RING-type
EOG09270116;WD40 repeat
EOG09270117;PAP/25A-associated
EOG09270118;ADC synthase
EOG09270119;UPF0652 protein C22H10.08
EOG0927011A;6-phosphogluconate dehydrogenase
EOG0927011B;WD40 repeat
EOG0927011H;Cyclophilin-type peptidyl-prolyl cis-trans isomerase
EOG0927011I;FAD-dependent glycerol-3-phosphate dehydrogenase
EOG0927011J;Protein kinase domain
EOG0927011K;Similarity:Contains UBP-type zinc finger.
EOG0927011L;Similarity:Contains SWIRM domain.
EOG0927011M;SSRP1 domain
EOG0927011N;Zinc finger, NHR/GATA-type
EOG0927011O;NADPH-dependent diflavin oxidoreductase 1
EOG0927011P;Transmembrane:Helical
EOG0927011Q;Dbl homology (DH) domain
EOG0927011R;Tetratricopeptide repeat
EOG0927011S;Similarity:Contains USP domain.
EOG0927011T;Meiotic expression up-regulated protein 1/2
EOG0927011V;DNA repair protein
EOG0927011Z;Transmembrane:Helical
EOG09270120;Kinesin-like protein
EOG09270121;Myb domain
EOG09270123;Kinesin-like protein
EOG09270126;gamma tubulin complex subunit Alp16
EOG09270127;Transmembrane:Helical
EOG09270128;ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
EOG09270129;Metallo-dependent phosphatase-like
EOG0927012B;Six-hairpin glycosidase
EOG0927012C;FAD-binding, type 1
EOG0927012D;Similarity:Contains VHS domain.
EOG0927012E;Transmembrane:Helical
EOG0927012F;Similarity:Belongs to the ABC transporter superfamily.
