id_Uniprot;id_NCBI;protein_recommended_name;id_pfam
CACB3_HUMAN;784;Voltage-dependent L-type calcium channel subunit beta-3;PF00625|PF12052
CACB3_MOUSE;12297;Voltage-dependent L-type calcium channel subunit beta-3;PF00625|PF12052
CACB4_HUMAN;785;Voltage-dependent L-type calcium channel subunit beta-4;PF00625|PF12052
CACB4_MOUSE;12298;Voltage-dependent L-type calcium channel subunit beta-4;PF00625|PF12052
CACL1_HUMAN;143384;CDK2-associated and cullin domain-containing protein 1;PF00888
CACL1_MOUSE;78832;CDK2-associated and cullin domain-containing protein 1;PF00888
CACO1_DANRE;334971;Calcium-binding and coiled-coil domain-containing protein 1;PF07888
CACO1_HUMAN;57658;Calcium-binding and coiled-coil domain-containing protein 1;PF07888
CACO1_MOUSE;67488;Calcium-binding and coiled-coil domain-containing protein 1;PF07888
CACO2_HUMAN;10241;Calcium-binding and coiled-coil domain-containing protein 2;PF07888
CACO2_MOUSE;76815;Calcium-binding and coiled-coil domain-containing protein 2;PF07888
CACP_HUMAN;1384;Carnitine O-acetyltransferase;PF00755
CACP_MOUSE;12908;Carnitine O-acetyltransferase;PF00755
CACT_DROME;34969;NF-kappa-B inhibitor cactus;PF12796
CAD10_HUMAN;1008;Cadherin-10;PF00028|PF01049
CAD10_MOUSE;320873;Cadherin-10;PF00028|PF01049
CAD11_HUMAN;1009;Cadherin-11;PF00028|PF01049
CAD11_MOUSE;12552;Cadherin-11;PF00028|PF01049
CAD12_HUMAN;1010;Cadherin-12;PF00028|PF01049
CAD12_MOUSE;215654;Cadherin-12;PF00028|PF01049
CAD13_HUMAN;1012;Cadherin-13;PF00028|PF08758
CAD13_MOUSE;12554;Cadherin-13;PF00028|PF08758
CAD15_HUMAN;1013;Cadherin-15;PF00028|PF01049
CAD15_MOUSE;12555;Cadherin-15;PF00028|PF01049
CAD16_HUMAN;1014;Cadherin-16;PF00028
CAD16_MOUSE;12556;Cadherin-16;PF00028
CAD17_HUMAN;1015;Cadherin-17;PF00028
CAD17_MOUSE;12557;Cadherin-17;PF00028
CAD18_HUMAN;1016;Cadherin-18;PF00028|PF01049
CAD19_HUMAN;28513;Cadherin-19;PF00028|PF01049
CAD20_HUMAN;28316;Cadherin-20;PF00028|PF01049
CAD20_MOUSE;23836;Cadherin-20;PF00028|PF01049
CAD22_HUMAN;64405;Cadherin-22;PF00028|PF01049
CAD22_MOUSE;104010;Cadherin-22;PF00028|PF01049
CAD23_HUMAN;64072;Cadherin-23;PF00028
CAD23_MOUSE;22295;Cadherin-23;PF00028
CAD24_HUMAN;64403;Cadherin-24;PF00028|PF01049
CAD24_MOUSE;239096;Cadherin-24;PF00028|PF01049
CAD26_HUMAN;60437;Cadherin-like protein 26;PF00028
CAD26_MOUSE;381409;Cadherin-like protein 26;PF00028
CAD86_DROME;41302;Cadherin-86C;PF00028
CAD87_DROME;41441;Cadherin-87A;PF00028
CAD89_DROME;42006;Cadherin-89D;PF00028
CAD96_DROME;43026;Tyrosine kinase receptor Cad96Ca;PF07714
CAD99_DROME;43528;Cadherin-99C;PF00028
CADE_DROME;37386;DE-cadherin;PF00028|PF01049|PF02210
CADF_DROME;37841;Cofilin/actin-depolymerizing factor homolog;PF00241
CADH1_HUMAN;999;Cadherin-1;PF00028|PF01049|PF08758
CADH1_MOUSE;12550;Cadherin-1;PF00028|PF01049|PF08758
CADH1_TOBAC;107789450;Probable cinnamyl alcohol dehydrogenase 1;PF08240|PF00107
CADH2_DANRE;30291;Cadherin-2;PF00028|PF01049|PF08758
CADH2_HUMAN;1000;Cadherin-2;PF00028|PF01049|PF08758
CADH2_MOUSE;12558;Cadherin-2;PF00028|PF01049|PF08758
CADH2_TOBAC;107816761;Probable cinnamyl alcohol dehydrogenase 2;PF08240|PF00107
CADH3_CAEEL;176085;Cadherin-3;PF00028|PF02210
CADH3_HUMAN;1001;Cadherin-3;PF00028|PF01049
CADH3_MOUSE;12560;Cadherin-3;PF00028|PF01049
CADH4_HUMAN;1002;Cadherin-4;PF00028|PF01049|PF08758
CADH4_MOUSE;12561;Cadherin-4;PF00028|PF01049|PF08758
CADH5_HUMAN;1003;Cadherin-5;PF00028|PF01049
CADH5_MOUSE;12562;Cadherin-5;PF00028|PF01049
CADH6_HUMAN;1004;Cadherin-6;PF00028|PF01049
CADH6_MOUSE;12563;Cadherin-6;PF00028|PF01049
CADH7_HUMAN;1005;Cadherin-7;PF00028|PF01049
CADH7_MOUSE;241201;Cadherin-7;PF00028|PF01049
CADH8_HUMAN;1006;Cadherin-8;PF00028|PF01049
CADH8_MOUSE;12564;Cadherin-8;PF00028|PF01049
CADH9_HUMAN;1007;Cadherin-9;PF00028|PF01049
CADM1_HUMAN;23705;Cell adhesion molecule 1;PF08205|PF07686
CADM1_MOUSE;54725;Cell adhesion molecule 1;PF08205|PF07686
CADM2_HUMAN;253559;Cell adhesion molecule 2;PF08205|PF07686
CADM2_MOUSE;239857;Cell adhesion molecule 2;PF08205|PF07686
CADM3_HUMAN;57863;Cell adhesion molecule 3;PF08205|PF07679
CADM3_MOUSE;94332;Cell adhesion molecule 3;PF08205|PF07679
CADM4_HUMAN;199731;Cell adhesion molecule 4;PF08205|PF07686
CADM4_MOUSE;260299;Cell adhesion molecule 4;PF08205|PF07686
CADN2_DROME;35071;Putative neural-cadherin 2;PF00028|PF01049|PF00008|PF02210
CADN_DROME;35070;Neural-cadherin;PF00028|PF01049|PF00008|PF02210
CAD_DROME;35341;Homeotic protein caudal;PF00046
CAF17_DANRE;100330979;Putative transferase CAF17 homolog, mitochondrial;PF01571|PF08669
CAF17_HUMAN;200205;Putative transferase CAF17, mitochondrial;PF08669
CAF17_MOUSE;216792;Putative transferase CAF17 homolog, mitochondrial;PF08669
CAF17_SCHPO;2541968;Putative transferase caf17, mitochondrial;PF01571
CAF1A_DANRE;563212;Chromatin assembly factor 1 subunit A;PF15539|PF15557|PF12253
CAF1A_HUMAN;10036;Chromatin assembly factor 1 subunit A;PF15539|PF15557|PF12253
CAF1A_MOUSE;27221;Chromatin assembly factor 1 subunit A;PF15539|PF15557|PF12253
CAF1B_HUMAN;8208;Chromatin assembly factor 1 subunit B;PF15512|PF00400
CAF1B_MOUSE;110749;Chromatin assembly factor 1 subunit B;PF15512|PF00400
CAF1_DROME;41836;Probable histone-binding protein Caf1;PF12265|PF00400
CAF1_SCHPO;2539041;Poly(A) ribonuclease pop2;PF04857
CAF5_SCHPO;2541116;Caffeine resistance protein 5;PF07690
CAGE1_HUMAN;285782;Cancer-associated gene 1 protein;PF15066
CAGE1_MOUSE;71213;Cancer-associated gene 1 protein homolog;PF15066
CAH10_HUMAN;56934;Carbonic anhydrase-related protein 10;PF00194
CAH10_MOUSE;72605;Carbonic anhydrase-related protein 10;PF00194
CAH11_HUMAN;770;Carbonic anhydrase-related protein 11;PF00194
CAH11_MOUSE;12348;Carbonic anhydrase-related protein 11;PF00194
CAH12_HUMAN;771;Carbonic anhydrase 12;PF00194
CAH12_MOUSE;76459;Carbonic anhydrase 12;PF00194
CAH13_HUMAN;377677;Carbonic anhydrase 13;PF00194
CAH13_MOUSE;71934;Carbonic anhydrase 13;PF00194
CAH14_HUMAN;23632;Carbonic anhydrase 14;PF00194
CAH14_MOUSE;23831;Carbonic anhydrase 14;PF00194
CAH15_MOUSE;80733;Carbonic anhydrase 15;PF00194
CAH1_CAEEL;186231;Putative carbonic anhydrase-like protein 1;PF00194
CAH1_HUMAN;759;Carbonic anhydrase 1;PF00194
CAH1_MOUSE;12346;Carbonic anhydrase 1;PF00194
CAH2_CAEEL;174218;Putative carbonic anhydrase-like protein 2;PF00194
CAH2_HUMAN;760;Carbonic anhydrase 2;PF00194
CAH2_MOUSE;12349;Carbonic anhydrase 2;PF00194
CAH3_CAEEL;181713;Putative carbonic anhydrase 3;PF00194
CAH3_HUMAN;761;Carbonic anhydrase 3;PF00194
CAH3_MOUSE;12350;Carbonic anhydrase 3;PF00194
CAH4_HUMAN;762;Carbonic anhydrase 4;PF00194
CAH4_MOUSE;12351;Carbonic anhydrase 4;PF00194
CAH5A_HUMAN;763;Carbonic anhydrase 5A, mitochondrial;PF00194
CAH5A_MOUSE;12352;Carbonic anhydrase 5A, mitochondrial;PF00194
CAH5B_HUMAN;11238;Carbonic anhydrase 5B, mitochondrial;PF00194
CAH5B_MOUSE;56078;Carbonic anhydrase 5B, mitochondrial;PF00194
CAH5_CAEEL;180972;Putative carbonic anhydrase 5;PF00194
CAH6_HUMAN;765;Carbonic anhydrase 6;PF00194
CAH6_MOUSE;12353;Carbonic anhydrase 6;PF00194
CAH7_HUMAN;766;Carbonic anhydrase 7;PF00194
CAH7_MOUSE;12354;Carbonic anhydrase 7;PF00194
CAH8_HUMAN;767;Carbonic anhydrase-related protein;PF00194
CAH8_MOUSE;12319;Carbonic anhydrase-related protein;PF00194
CAH9_HUMAN;768;Carbonic anhydrase 9;PF00194
CAH9_MOUSE;230099;Carbonic anhydrase 9;PF00194
CAHC_TOBAC;107822687;Carbonic anhydrase, chloroplastic;PF00484
CAHD1_HUMAN;57685;VWFA and cache domain-containing protein 1;PF00092|PF08399
CAHD1_MOUSE;320508;VWFA and cache domain-containing protein 1;PF00092|PF08399
CAHM1_HUMAN;255022;Calcium homeostasis modulator protein 1;PF14798
CAHM1_MOUSE;546729;Calcium homeostasis modulator protein 1;PF14798
CAHM2_HUMAN;51063;Calcium homeostasis modulator protein 2;PF14798
CAHM2_MOUSE;72691;Calcium homeostasis modulator protein 2;PF14798
CAHM3_HUMAN;119395;Calcium homeostasis modulator protein 3;PF14798
CAHM4_HUMAN;221301;Calcium homeostasis modulator protein 4;PF14798
CAHM4_MOUSE;270711;Calcium homeostasis modulator protein 4;PF14798
CAHM5_HUMAN;254228;Calcium homeostasis modulator protein 5;PF14798
CAHM5_MOUSE;103511;Calcium homeostasis modulator protein 5;PF14798
CAHM6_HUMAN;441168;Calcium homeostasis modulator protein 6;PF14798
CAHM6_MOUSE;215900;Calcium homeostasis modulator protein 6;PF14798
CAHZ_DANRE;30331;Carbonic anhydrase;PF00194
CALB1_HUMAN;793;Calbindin;PF13405|PF13499
CALB1_MOUSE;12307;Calbindin;PF13405|PF13499
CALB2_HUMAN;794;Calretinin;PF13405|PF13499
CALB2_MOUSE;12308;Calretinin;PF13405|PF13499
CALCA_HUMAN;796;Calcitonin gene-related peptide 1;PF00214
CALCA_MOUSE;12310;Calcitonin gene-related peptide 1;PF00214
CALCB_HUMAN;797;Calcitonin gene-related peptide 2;PF00214
CALCR_HUMAN;799;Calcitonin receptor;PF00002|PF02793
CALCR_MOUSE;12311;Calcitonin receptor;PF00002|PF02793
CALC_HUMAN;796;Calcitonin;PF00214
CALC_MOUSE;12310;Calcitonin;PF00214
CALD1_HUMAN;800;Caldesmon;PF02029
CALI_HUMAN;881;Calicin;PF07707|PF00651|PF01344
CALI_MOUSE;442829;Calicin;PF07707|PF00651|PF01344
CALL3_HUMAN;810;Calmodulin-like protein 3;PF13499
CALL3_MOUSE;70405;Calmodulin-like protein 3;PF13499
CALL4_HUMAN;91860;Calmodulin-like protein 4;PF13499
CALL4_MOUSE;75600;Calmodulin-like protein 4;PF13499|PF13833
CALL5_HUMAN;51806;Calmodulin-like protein 5;PF13499
CALL6_HUMAN;163688;Calmodulin-like protein 6;PF13499|PF13833
CALL_CAEEL;179715;Calmodulin-like protein;PF13499
CALL_DROME;44913;Calmodulin-related protein 97A;PF13499
CALM1_HUMAN;801;Calmodulin-1;PF13499
CALM1_MOUSE;12313;Calmodulin-1;PF13499
CALM2_HUMAN;801;Calmodulin-2;PF13499
CALM2_MOUSE;12313;Calmodulin-2;PF13499
CALM3_HUMAN;801;Calmodulin-3;PF13499
CALM3_MOUSE;12313;Calmodulin-3;PF13499
CALM4_MOUSE;80796;Calmodulin-4;PF13499
CALM_CAEEL;178614;Calmodulin;PF13499
CALM_DANRE;192322;Calmodulin;PF13499
CALM_DROME;36329;Calmodulin;PF13499
CALM_SCHPO;2543039;Calmodulin;PF13499
CALR3_HUMAN;125972;Calreticulin-3;PF00262
CALR3_MOUSE;73316;Calreticulin-3;PF00262
CALRL_DANRE;445508;Calcitonin gene-related peptide type 1 receptor;PF00002|PF02793
CALRL_HUMAN;10203;Calcitonin gene-related peptide type 1 receptor;PF00002|PF02793
CALRL_MOUSE;54598;Calcitonin gene-related peptide type 1 receptor;PF00002|PF02793
CALR_CAEEL;178997;Calreticulin;PF00262
CALR_DROME;41166;Calreticulin;PF00262
CALR_HUMAN;811;Calreticulin;PF00262
CALR_MOUSE;12317;Calreticulin;PF00262
CALUB_DANRE;394057;Calumenin-B;PF13202
CALU_HUMAN;813;Calumenin;PF13202|PF13833
CALU_MOUSE;12321;Calumenin;PF13202|PF13833
CALX_CAEEL;176390;Calnexin;PF00262
CALX_HUMAN;821;Calnexin;PF00262
CALX_MOUSE;12330;Calnexin;PF00262
CALYP_DROME;36794;Ubiquitin carboxyl-terminal hydrolase calypso;PF01088
CALY_HUMAN;50632;Neuron-specific vesicular protein calcyon;PF06387
CALY_MOUSE;68566;Neuron-specific vesicular protein calcyon;PF06387
CAM1B_DANRE;561094;Calmodulin-regulated spectrin-associated protein 1-B;PF17095|PF11971|PF08683
CAM1_CAEEL;174473;Tyrosine-protein kinase receptor cam-1;PF01392|PF07679|PF00051|PF07714
CAM2_SCHPO;2542611;Myosin 1 light chain cam2;PF13499
CAMKV_DANRE;393422;CaM kinase-like vesicle-associated protein;PF00069
CAMKV_HUMAN;79012;CaM kinase-like vesicle-associated protein;PF00069
CAMKV_MOUSE;235604;CaM kinase-like vesicle-associated protein;PF00069
CAMLG_HUMAN;819;Calcium signal-modulating cyclophilin ligand;PF14963
CAMLG_MOUSE;12328;Calcium signal-modulating cyclophilin ligand;PF14963
CAMP1_HUMAN;157922;Calmodulin-regulated spectrin-associated protein 1;PF17095|PF11971|PF08683
CAMP1_MOUSE;227634;Calmodulin-regulated spectrin-associated protein 1;PF17095|PF11971|PF08683
CAMP2_HUMAN;23271;Calmodulin-regulated spectrin-associated protein 2;PF17095|PF11971|PF08683
CAMP2_MOUSE;67886;Calmodulin-regulated spectrin-associated protein 2;PF17095|PF11971|PF08683
CAMP3_HUMAN;57662;Calmodulin-regulated spectrin-associated protein 3;PF17095|PF11971|PF08683
CAMP3_MOUSE;69697;Calmodulin-regulated spectrin-associated protein 3;PF17095|PF11971|PF08683
CAMP_HUMAN;820;Cathelicidin antimicrobial peptide;PF12153
CAMP_MOUSE;12796;Cathelicidin antimicrobial peptide;PF12153
CAMT1_TOBAC;107785450;Caffeoyl-CoA O-methyltransferase 1;PF01596
CAMT2_TOBAC;107789329;Caffeoyl-CoA O-methyltransferase 2;PF01596
CAMT3_TOBAC;107789328;Caffeoyl-CoA O-methyltransferase 3;PF01596
CAMT4_TOBAC;107785451;Caffeoyl-CoA O-methyltransferase 4;PF01596
CAMT5_TOBAC;107770611;Caffeoyl-CoA O-methyltransferase 5;PF01596
CAMT6_TOBAC;107810774;Caffeoyl-CoA O-methyltransferase 6;PF01596
CAN10_HUMAN;11132;Calpain-10;PF01067|PF00648
CAN10_MOUSE;23830;Calpain-10;PF01067|PF00648
CAN11_HUMAN;11131;Calpain-11;PF01067|PF13833|PF00648
CAN11_MOUSE;268958;Calpain-11;PF01067|PF00648
CAN12_HUMAN;147968;Calpain-12;PF01067|PF00648
CAN12_MOUSE;60594;Calpain-12;PF01067|PF00648
CAN13_HUMAN;92291;Calpain-13;PF01067|PF00648
CAN13_MOUSE;381122;Calpain-13;PF01067|PF00648
CAN14_HUMAN;440854;Calpain-14;PF01067|PF00648
CAN15_HUMAN;6650;Calpain-15;PF00648|PF00641
CAN15_MOUSE;50817;Calpain-15;PF00648|PF00641
CAN1_HUMAN;823;Calpain-1 catalytic subunit;PF01067|PF13833|PF00648
CAN1_MOUSE;12333;Calpain-1 catalytic subunit;PF01067|PF13833|PF00648
CAN2_HUMAN;824;Calpain-2 catalytic subunit;PF01067|PF13833|PF00648
CAN2_MOUSE;12334;Calpain-2 catalytic subunit;PF01067|PF13833|PF00648
CAN3_HUMAN;825;Calpain-3;PF01067|PF13202|PF13833|PF00648
CAN3_MOUSE;12335;Calpain-3;PF01067|PF13202|PF13833|PF00648
CAN5_CAEEL;178385;Calpain-5;PF01067|PF00648
CAN5_HUMAN;726;Calpain-5;PF01067|PF00648
CAN5_MOUSE;12337;Calpain-5;PF01067|PF00648
CAN6_HUMAN;827;Calpain-6;PF00168|PF01067|PF00648
CAN6_MOUSE;12338;Calpain-6;PF00168|PF01067|PF00648
CAN7_HUMAN;23473;Calpain-7;PF01067|PF04212|PF00648
CAN7_MOUSE;12339;Calpain-7;PF01067|PF04212|PF00648
CAN8_HUMAN;388743;Calpain-8;PF01067|PF00648
CAN8_MOUSE;170725;Calpain-8;PF01067|PF00648
CAN9_HUMAN;10753;Calpain-9;PF01067|PF13833|PF00648
CAN9_MOUSE;73647;Calpain-9;PF01067|PF13833|PF00648
CANA_DROME;37232;Calpain-A;PF01067|PF00648
CANB1_DROME;44317;Calcineurin subunit B type 1;PF13499
CANB1_HUMAN;5534;Calcineurin subunit B type 1;PF13499
CANB1_MOUSE;19058;Calcineurin subunit B type 1;PF13499
CANB2_DROME;46456;Calcineurin subunit B type 2;PF13499
CANB2_HUMAN;5535;Calcineurin subunit B type 2;PF13499
CANB2_MOUSE;19059;Calcineurin subunit B type 2;PF13202|PF13499|PF13833
CANB_CAEEL;179572;Protein phosphatase 2B regulatory subunit cnb-1;PF13499
CANB_DROME;39165;Calpain-B;PF01067|PF00648
CANB_SCHPO;2538786;Calcineurin subunit B;PF13202|PF13499
CANC_DROME;32597;Calpain-C;PF01067|PF00648
CAND1_CAEEL;180125;Cullin-associated NEDD8-dissociated protein 1;PF08623
CAND1_DROME;34403;Cullin-associated NEDD8-dissociated protein 1;PF08623
CAND1_HUMAN;55832;Cullin-associated NEDD8-dissociated protein 1;PF08623
CAND1_MOUSE;71902;Cullin-associated NEDD8-dissociated protein 1;PF08623
CAND1_SCHPO;2542767;Cullin-associated NEDD8-dissociated protein 1;PF08623
CAND2_HUMAN;23066;Cullin-associated NEDD8-dissociated protein 2;PF08623
CAND2_MOUSE;67088;Cullin-associated NEDD8-dissociated protein 2;PF08623
CAND_DROME;44014;Calpain-D;PF00648|PF00641
CANT1_HUMAN;124583;Soluble calcium-activated nucleotidase 1;PF06079
CANT1_MOUSE;76025;Soluble calcium-activated nucleotidase 1;PF06079
CAN_CAEEL;176122;Calpain clp-1;PF01067|PF00648
CAN_SCHPO;2541362;Carbonic anhydrase;PF00484
CAO1_SCHPO;2541754;Copper amine oxidase 1;PF01179|PF02727|PF02728
CAO2_SCHPO;2539624;Copper amine oxidase-like protein cao2;PF01179|PF02727|PF02728
CAP1_HUMAN;10487;Adenylyl cyclase-associated protein 1;PF08603|PF01213
CAP1_MOUSE;12331;Adenylyl cyclase-associated protein 1;PF08603|PF01213
CAP2_HUMAN;10486;Adenylyl cyclase-associated protein 2;PF08603|PF01213
CAP2_MOUSE;67252;Adenylyl cyclase-associated protein 2;PF08603|PF01213
CAP7_HUMAN;566;Azurocidin;PF00089
CAPAR_DROME;40393;Neuropeptides capa receptor;PF00001
CAPG1_CAEEL;172521;Condensin complex subunit capg-1;PF12719
CAPG_HUMAN;822;Macrophage-capping protein;PF00626
CAPON_DROME;39111;Capon-like protein;PF00640
CAPON_HUMAN;9722;Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein;PF00640
CAPON_MOUSE;70729;Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein;PF00640
CAPP_TOBAC;107777405;Phosphoenolpyruvate carboxylase;PF00311
CAPR1_HUMAN;4076;Caprin-1;PF12287
CAPR1_MOUSE;53872;Caprin-1;PF12287
CAPR2_DANRE;407729;Caprin-2;PF00386|PF12287
CAPR2_HUMAN;65981;Caprin-2;PF00386|PF12287
CAPR2_MOUSE;232560;Caprin-2;PF00386|PF12287
CAPS1_HUMAN;8618;Calcium-dependent secretion activator 1;PF06292|PF00169
CAPS1_MOUSE;27062;Calcium-dependent secretion activator 1;PF06292|PF00169
CAPS2_HUMAN;93664;Calcium-dependent secretion activator 2;PF06292|PF00169
CAPS2_MOUSE;320405;Calcium-dependent secretion activator 2;PF06292|PF00169
CAPSL_HUMAN;133690;Calcyphosin-like protein;PF13499
CAPSL_MOUSE;75568;Calcyphosin-like protein;PF13499
CAPS_CAEEL;178233;Calcium-dependent secretion activator;PF06292|PF00169
CAPS_DROME;49968;Calcium-dependent secretion activator;PF06292|PF00169
CAPU_DROME;33611;Protein cappuccino;PF02181
CAPZA_CAEEL;177497;F-actin-capping protein subunit alpha;PF01267
CAPZA_DROME;37387;F-actin-capping protein subunit alpha;PF01267
CAPZA_SCHPO;2542679;F-actin-capping protein subunit alpha;PF01267
CAPZB_CAEEL;174673;F-actin-capping protein subunit beta;PF01115
CAPZB_DROME;33346;F-actin-capping protein subunit beta;PF01115
CAPZB_HUMAN;832;F-actin-capping protein subunit beta;PF01115
CAPZB_MOUSE;12345;F-actin-capping protein subunit beta;PF01115
CAPZB_SCHPO;2543390;F-actin-capping protein subunit beta;PF01115
CAP_SCHPO;2538829;Adenylyl cyclase-associated protein;PF08603|PF01213
CAR10_HUMAN;29775;Caspase recruitment domain-containing protein 10;PF00619
CAR10_MOUSE;105844;Caspase recruitment domain-containing protein 10;PF00619
CAR11_HUMAN;84433;Caspase recruitment domain-containing protein 11;PF00619
CAR11_MOUSE;108723;Caspase recruitment domain-containing protein 11;PF00619
CAR14_HUMAN;79092;Caspase recruitment domain-containing protein 14;PF00619|PF00625
CAR14_MOUSE;170720;Caspase recruitment domain-containing protein 14;PF00619
CAR16_HUMAN;114769;Caspase recruitment domain-containing protein 16;PF00619
CAR17_HUMAN;440068;Caspase recruitment domain-containing protein 17;PF00619
CAR18_HUMAN;59082;Caspase recruitment domain-containing protein 18;PF00619
CAR19_MOUSE;68480;Caspase recruitment domain-containing protein 19;PF00619
CARA_SCHPO;2541060;Carbamoyl-phosphate synthase arginine-specific small chain;PF00988|PF00117
CARB_SCHPO;2540729;Carbamoyl-phosphate synthase arginine-specific large chain;PF02786|PF02787
CARD6_HUMAN;84674;Caspase recruitment domain-containing protein 6;PF00619
CARD8_HUMAN;22900;Caspase recruitment domain-containing protein 8;PF00619|PF13553
CARD9_HUMAN;64170;Caspase recruitment domain-containing protein 9;PF00619
CARD9_MOUSE;332579;Caspase recruitment domain-containing protein 9;PF00619
CARF_HUMAN;55602;CDKN2A-interacting protein;PF11952
CARF_MOUSE;70925;CDKN2A-interacting protein;PF11952
CARL1_HUMAN;55604;F-actin-uncapping protein LRRC16A;PF16000|PF13516
CARL1_MOUSE;68732;F-actin-uncapping protein LRRC16A;PF16000|PF13516
CARL2_HUMAN;146206;Capping protein, Arp2/3 and myosin-I linker protein 2;PF16000|PF13516
CARL2_MOUSE;234695;Capping protein, Arp2/3 and myosin-I linker protein 2;PF16000|PF13516
CARL3_HUMAN;90668;Capping protein, Arp2/3 and myosin-I linker protein 3;PF16000|PF13516
CARL3_MOUSE;268747;Capping protein, Arp2/3 and myosin-I linker protein 3;PF16000|PF13516
CARM1_DANRE;445251;Histone-arginine methyltransferase CARM1;PF11531
CARM1_HUMAN;10498;Histone-arginine methyltransferase CARM1;PF11531
CARM1_MOUSE;59035;Histone-arginine methyltransferase CARM1;PF11531
CARME_DROME;31158;Carnosine N-methyltransferase;PF07942
CARME_HUMAN;138199;Carnosine N-methyltransferase {ECO:0000303|PubMed:26001783, ECO:0000312|HGNC:HGNC:23435};PF07942
CARME_MOUSE;67383;Carnosine N-methyltransferase {ECO:0000250|UniProtKB:Q5BJZ6, ECO:0000312|MGI:MGI:1914633};PF07942
CARME_SCHPO;2540132;Carnosine N-methyltransferase;PF07942
CARTF_HUMAN;79800;Calcium-responsive transcription factor;PF15299
CARTF_MOUSE;241066;Calcium-responsive transcription factor;PF15299
CART_DROME;35334;Carcinine transporter {ECO:0000303|PubMed:26653853, ECO:0000303|PubMed:26713872};PF00083
CART_HUMAN;9607;Cocaine- and amphetamine-regulated transcript protein;PF06373
CART_MOUSE;27220;Cocaine- and amphetamine-regulated transcript protein;PF06373
CASA1_MOUSE;12990;Alpha-S1-casein;PF00363
CASB_HUMAN;1447;Beta-casein;PF00363
CASB_MOUSE;12991;Beta-casein;PF00363
CASC1_HUMAN;55259;Protein CASC1;PF15927
CASC1_MOUSE;320662;Protein CASC1;PF15927
CASC3_DANRE;403025;Protein CASC3;PF09405
CASC3_HUMAN;22794;Protein CASC3;PF09405
CASC3_MOUSE;192160;Protein CASC3;PF09405
CASD1_HUMAN;64921;N-acetylneuraminate 9-O-acetyltransferase;PF07779
CASD1_MOUSE;213819;N-acetylneuraminate 9-O-acetyltransferase;PF07779
CASK_HUMAN;1448;Kappa-casein;PF00997
CASK_MOUSE;12994;Kappa-casein;PF00997
CASL_HUMAN;4739;Enhancer of filamentation 1;PF12026|PF08824|PF14604
CASL_MOUSE;18003;Enhancer of filamentation 1;PF12026|PF08824|PF14604
CASP1_HUMAN;834;Caspase-1;PF00619
CASP1_MOUSE;12362;Caspase-1;PF00619
CASP1_TOBAC;107766637;Casparian strip membrane protein 1;PF04535
CASP2_HUMAN;835;Caspase-2;PF00619
CASP2_MOUSE;12366;Caspase-2;PF00619
CASP4_HUMAN;837;Caspase-4;PF00619
CASP4_MOUSE;12363;Caspase-4;PF00619
CASP5_HUMAN;838;Caspase-5;PF00619
CASP8_HUMAN;841;Caspase-8;PF01335
CASP8_MOUSE;12370;Caspase-8;PF01335
CASP9_HUMAN;842;Caspase-9;PF00619
CASP9_MOUSE;12371;Caspase-9;PF00619
CASPA_HUMAN;843;Caspase-10;PF01335
CASPC_HUMAN;100506742;Inactive caspase-12;PF00619
CASPC_MOUSE;12364;Caspase-12;PF00619
CASP_CAEEL;175372;Protein CASP;PF08172
CASP_HUMAN;1523;Protein CASP;PF08172
CASP_SCHPO;2539476;Protein CASP;PF08172
CASQ1_HUMAN;844;Calsequestrin-1;PF01216
CASQ1_MOUSE;12372;Calsequestrin-1;PF01216
CASQ2_HUMAN;845;Calsequestrin-2;PF01216
CASQ2_MOUSE;12373;Calsequestrin-2;PF01216
CASR_HUMAN;846;Extracellular calcium-sensing receptor;PF00003|PF01094|PF07562
CASR_MOUSE;12374;Extracellular calcium-sensing receptor;PF00003|PF01094|PF07562
CASS4_HUMAN;57091;Cas scaffolding protein family member 4;PF12026|PF08824|PF14604
CASS4_MOUSE;320664;Cas scaffolding protein family member 4;PF12026|PF08824|PF14604
CAST1_HUMAN;652968;Cytosolic arginine sensor for mTORC1 subunit 1;PF13840
CAST1_MOUSE;71962;Cytosolic arginine sensor for mTORC1 subunit 1;PF13840
CAST2_HUMAN;729438;Cytosolic arginine sensor for mTORC1 subunit 2;PF13840
CAST2_MOUSE;80909;Cytosolic arginine sensor for mTORC1 subunit 2;PF13840
CAT1_SCHPO;2543573;Cationic amino acid transporter 1;PF00324
CAT7_MOUSE;56092;Cathepsin 7;PF08246|PF00112
CAT8_MOUSE;56094;Cathepsin 8;PF08246|PF00112
CATA1_CAEEL;175085;Peroxisomal catalase 1;PF00199|PF06628
CATA1_TOBAC;107786140;Catalase isozyme 1;PF00199|PF06628
CATA2_CAEEL;259738;Catalase-2;PF00199|PF06628
CATA_DROME;40048;Catalase;PF00199|PF06628
CATA_HUMAN;847;Catalase;PF00199|PF06628
CATA_MOUSE;12359;Catalase;PF00199|PF06628
CATA_SCHPO;2539418;Catalase;PF00199|PF06628
CATB_HUMAN;1508;Cathepsin B;PF00112|PF08127
CATB_MOUSE;13030;Cathepsin B;PF00112|PF08127
CATC_HUMAN;1075;Dipeptidyl peptidase 1;PF08773|PF00112
