id_Uniprot;id_ENSEMBL;protein_recommended_name;id_pfam
ESCO1_HUMAN;ENSG00000141446;N-acetyltransferase ESCO1;PF13880|PF13878
ESCO2_HUMAN;ENSG00000171320;N-acetyltransferase ESCO2;PF13880|PF13878
ESF1_HUMAN;ENSG00000089048;ESF1 homolog;PF08159
ESM1_HUMAN;ENSG00000164283;Endothelial cell-specific molecule 1;PF00219
ESPB1_HUMAN;ENSG00000169393;Epididymal sperm-binding protein 1;PF00040
ESPNL_HUMAN;ENSG00000144488;Espin-like protein;PF12796
ESPN_HUMAN;ENSG00000187017;Espin;PF12796|PF02205
ESR1_HUMAN;ENSG00000091831;Estrogen receptor;PF12743|PF00104|PF02159|PF00105
ESR2_HUMAN;ENSG00000140009;Estrogen receptor beta;PF12497|PF00104|PF00105
EST1A_HUMAN;ENSG00000070366;Telomerase-binding protein EST1A;PF10374|PF10373|PF13638
EST1_HUMAN;ENSG00000198848;Liver carboxylesterase 1;PF00135
EST2_HUMAN;ENSG00000172831;Cocaine esterase;PF00135
EST3_HUMAN;ENSG00000172828;Carboxylesterase 3;PF00135
EST4A_HUMAN;ENSG00000172824;Carboxylesterase 4A;PF00135
EST5A_HUMAN;ENSG00000159398;Carboxylesterase 5A;PF00135
ESTD_HUMAN;ENSG00000139684;S-formylglutathione hydrolase;PF00756
ESX1_HUMAN;ENSG00000123576;Homeobox protein ESX1;PF00046
ESYT1_HUMAN;ENSG00000139641;Extended synaptotagmin-1;PF00168|PF17047
ESYT2_HUMAN;ENSG00000117868;Extended synaptotagmin-2;PF00168|PF17047
ESYT3_HUMAN;ENSG00000158220;Extended synaptotagmin-3;PF00168|PF17047
ETAA1_HUMAN;ENSG00000143971;Ewing's tumor-associated antigen 1;PF15350
ETBR2_HUMAN;ENSG00000170075;Prosaposin receptor GPR37L1;PF00001
ETFA_HUMAN;ENSG00000140374;Electron transfer flavoprotein subunit alpha, mitochondrial;PF01012|PF00766
ETFB_HUMAN;ENSG00000105379;Electron transfer flavoprotein subunit beta;PF01012
ETFR1_HUMAN;ENSG00000205707;Electron transfer flavoprotein regulatory factor 1;PF05347
ETHE1_HUMAN;ENSG00000105755;Persulfide dioxygenase ETHE1, mitochondrial;PF00753
ETS1_HUMAN;ENSG00000134954;Protein C-ets-1;PF00178|PF02198
ETS2_HUMAN;ENSG00000157557;Protein C-ets-2;PF00178|PF02198
ETV1_HUMAN;ENSG00000006468;ETS translocation variant 1;PF00178|PF04621
ETV2_HUMAN;ENSG00000105672;ETS translocation variant 2;PF00178
ETV3L_HUMAN;ENSG00000253831;ETS translocation variant 3-like protein;PF00178
ETV3_HUMAN;ENSG00000117036;ETS translocation variant 3;PF00178
ETV4_HUMAN;ENSG00000175832;ETS translocation variant 4;PF00178|PF04621
ETV5_HUMAN;ENSG00000244405;ETS translocation variant 5;PF00178|PF04621
ETV6_HUMAN;ENSG00000139083;Transcription factor ETV6;PF00178|PF02198
ETV7_HUMAN;ENSG00000010030;Transcription factor ETV7;PF00178|PF02198
EURL_HUMAN;ENSG00000154642;Protein EURL homolog;PF06937
EVA1C_HUMAN;ENSG00000166979;Protein eva-1 homolog C;PF02140
EVG1_HUMAN;ENSG00000128346;UPF0193 protein EVG1;PF05250
EVI2A_HUMAN;ENSG00000126860;Protein EVI2A;PF05399
EVI5L_HUMAN;ENSG00000142459;EVI5-like protein;PF00566
EVI5_HUMAN;ENSG00000067208;Ecotropic viral integration site 5 protein homolog;PF00566
EVL_HUMAN;ENSG00000196405;Ena/VASP-like protein;PF08776|PF00568
EVPL_HUMAN;ENSG00000167880;Envoplakin;PF00681
EVX1_HUMAN;ENSG00000106038;Homeobox even-skipped homolog protein 1;PF00046
EVX2_HUMAN;ENSG00000174279;Homeobox even-skipped homolog protein 2;PF00046
EWS_HUMAN;ENSG00000182944;RNA-binding protein EWS;PF00076|PF00641
EX3L1_HUMAN;ENSG00000179044;Exocyst complex component 3-like protein;PF06046
EX3L2_HUMAN;ENSG00000283632;Exocyst complex component 3-like protein 2;PF06046
EX3L4_HUMAN;ENSG00000205436;Exocyst complex component 3-like protein 4;PF06046
EXC6B_HUMAN;ENSG00000144036;Exocyst complex component 6B;PF04091
EXD1_HUMAN;ENSG00000178997;piRNA biogenesis protein EXD1;PF01612
EXD2_HUMAN;ENSG00000081177;Exonuclease 3'-5' domain-containing protein 2;PF01612
EXO1_HUMAN;ENSG00000174371;Exonuclease 1;PF00867|PF00752
EXO5_HUMAN;ENSG00000164002;Exonuclease V;PF09810
EXOC1_HUMAN;ENSG00000090989;Exocyst complex component 1;PF15277|PF09763
EXOC2_HUMAN;ENSG00000112685;Exocyst complex component 2;PF01833
EXOC3_HUMAN;ENSG00000180104;Exocyst complex component 3;PF06046
EXOC4_HUMAN;ENSG00000131558;Exocyst complex component 4;PF04048
EXOC5_HUMAN;ENSG00000070367;Exocyst complex component 5;PF07393
EXOC6_HUMAN;ENSG00000138190;Exocyst complex component 6;PF04091
EXOC7_HUMAN;ENSG00000182473;Exocyst complex component 7;PF03081
EXOC8_HUMAN;ENSG00000116903;Exocyst complex component 8;PF16528
EXOG_HUMAN;ENSG00000157036;Nuclease EXOG, mitochondrial;PF01223
EXOS1_HUMAN;ENSG00000171311;Exosome complex component CSL4;PF14382|PF10447
EXOS2_HUMAN;ENSG00000130713;Exosome complex component RRP4;PF14382|PF15985
EXOS3_HUMAN;ENSG00000107371;Exosome complex component RRP40;PF15985
EXOS4_HUMAN;ENSG00000178896;Exosome complex component RRP41;PF01138|PF03725
EXOS5_HUMAN;ENSG00000077348;Exosome complex component RRP46;PF01138|PF03725
EXOS6_HUMAN;ENSG00000223496;Exosome complex component MTR3;PF01138
EXOS7_HUMAN;ENSG00000075914;Exosome complex component RRP42;PF01138|PF03725
EXOS8_HUMAN;ENSG00000120699;Exosome complex component RRP43;PF01138|PF03725
EXOS9_HUMAN;ENSG00000123737;Exosome complex component RRP45;PF01138|PF03725
EXOSX_HUMAN;ENSG00000171824;Exosome component 10;PF01612|PF00570|PF08066
EXT1_HUMAN;ENSG00000182197;Exostosin-1;PF03016|PF09258
EXT2_HUMAN;ENSG00000151348;Exostosin-2;PF03016|PF09258
EXTL1_HUMAN;ENSG00000158008;Exostosin-like 1;PF03016|PF09258
EXTL2_HUMAN;ENSG00000162694;Exostosin-like 2;PF09258
EXTL3_HUMAN;ENSG00000012232;Exostosin-like 3;PF03016|PF09258
EYS_HUMAN;ENSG00000188107;Protein eyes shut homolog;PF00008|PF12661|PF02210
EZH1_HUMAN;ENSG00000108799;Histone-lysine N-methyltransferase EZH1;PF11616|PF00856
EZH2_HUMAN;ENSG00000106462;Histone-lysine N-methyltransferase EZH2;PF11616|PF00856
EZRI_HUMAN;ENSG00000092820;Ezrin;PF00769|PF09380|PF00373|PF09379
F102A_HUMAN;ENSG00000167106;Protein FAM102A;PF10358
F102B_HUMAN;ENSG00000162636;Protein FAM102B;PF10358
F104A_HUMAN;ENSG00000133193;Protein FAM104A;PF15434
F104B_HUMAN;ENSG00000182518;Protein FAM104B;PF15434
F105A_HUMAN;ENSG00000145569;Inactive ubiquitin thioesterase FAM105A;PF16218
F107A_HUMAN;ENSG00000168309;Protein FAM107A;PF06625
F107B_HUMAN;ENSG00000065809;Protein FAM107B;PF06625
F10C1_HUMAN;ENSG00000148690;Protein FRA10AC1;PF09725
F110A_HUMAN;ENSG00000125898;Protein FAM110A;PF14160|PF14161
F110B_HUMAN;ENSG00000169122;Protein FAM110B;PF14160|PF14161
F110C_HUMAN;ENSG00000184731;Protein FAM110C;PF14160|PF14161
F110D_HUMAN;ENSG00000197245;Protein FAM110D;PF14160|PF14161
F1142_HUMAN;ENSG00000055147;Protein FAM114A2;PF05334
F117A_HUMAN;ENSG00000121104;Protein FAM117A;PF15388
F117B_HUMAN;ENSG00000138439;Protein FAM117B;PF15388
F124A_HUMAN;ENSG00000150510;Protein FAM124A;PF15067
F124B_HUMAN;ENSG00000124019;Protein FAM124B;PF15067
F126B_HUMAN;ENSG00000155744;Protein FAM126B;PF09790
F131A_HUMAN;ENSG00000175182;Protein FAM131A;PF15010
F131B_HUMAN;ENSG00000159784;Protein FAM131B;PF15010
F131C_HUMAN;ENSG00000185519;Protein FAM131C;PF15010
F135A_HUMAN;ENSG00000082269;Protein FAM135A;PF12394|PF05057
F135B_HUMAN;ENSG00000147724;Protein FAM135B;PF12394|PF05057
F136A_HUMAN;ENSG00000035141;Protein FAM136A;PF05811
F13A_HUMAN;ENSG00000124491;Coagulation factor XIII A chain;PF00927|PF01841|PF00868
F13B_HUMAN;ENSG00000143278;Coagulation factor XIII B chain;PF00084
F149A_HUMAN;ENSG00000109794;Protein FAM149A;PF12516
F149B_HUMAN;ENSG00000138286;Protein FAM149B1;PF12516
F151A_HUMAN;ENSG00000162391;Protein FAM151A;PF10223
F151B_HUMAN;ENSG00000152380;Protein FAM151B;PF10223
F153A_HUMAN;ENSG00000170074;Protein FAM153A;PF15722
F153B_HUMAN;ENSG00000182230;Protein FAM153B;PF15722
F153C_HUMAN;ENSG00000204677;Protein FAM153C;PF15722
F159B_HUMAN;ENSG00000145642;Membrane protein FAM159B;PF13908
F161A_HUMAN;ENSG00000170264;Protein FAM161A;PF10595
F161B_HUMAN;ENSG00000156050;Protein FAM161B;PF10595
F162A_HUMAN;ENSG00000114023;Protein FAM162A;PF06388
F162B_HUMAN;ENSG00000183807;Protein FAM162B;PF06388
F163A_HUMAN;ENSG00000143340;Protein FAM163A;PF15069
F163B_HUMAN;ENSG00000196990;Protein FAM163B;PF15069
F166A_HUMAN;ENSG00000188163;Protein FAM166A;PF10629
F166B_HUMAN;ENSG00000215187;Protein FAM166B;PF10629
F167A_HUMAN;ENSG00000154319;Protein FAM167A;PF11652
F167B_HUMAN;ENSG00000183615;Protein FAM167B;PF11652
F168A_HUMAN;ENSG00000054965;Protein FAM168A;PF14944
F168B_HUMAN;ENSG00000152102;Myelin-associated neurite-outgrowth inhibitor;PF14944
F16A1_HUMAN;ENSG00000164142;Protein FAM160A1;PF10257
F16A2_HUMAN;ENSG00000051009;FTS and Hook-interacting protein;PF10257
F16B1_HUMAN;ENSG00000151553;Protein FAM160B1;PF10257
F16B2_HUMAN;ENSG00000158863;Protein FAM160B2;PF10257
F16P1_HUMAN;ENSG00000165140;Fructose-1,6-bisphosphatase 1;PF00316
F16P2_HUMAN;ENSG00000130957;Fructose-1,6-bisphosphatase isozyme 2;PF00316
F1711_HUMAN;ENSG00000148468;Protein FAM171A1;PF10577
F1712_HUMAN;ENSG00000161682;Protein FAM171A2;PF10577
F171B_HUMAN;ENSG00000144369;Protein FAM171B;PF10577
F172A_HUMAN;ENSG00000113391;Protein FAM172A;PF09757
F174A_HUMAN;ENSG00000174132;Membrane protein FAM174A;PF06679
F174B_HUMAN;ENSG00000185442;Membrane protein FAM174B;PF06679
F177A_HUMAN;ENSG00000151327;Protein FAM177A1;PF14774
F177B_HUMAN;ENSG00000197520;Protein FAM177B;PF14774
F178B_HUMAN;ENSG00000168754;Protein FAM178B;PF14816
F180A_HUMAN;ENSG00000189320;Protein FAM180A;PF15173
F180B_HUMAN;ENSG00000196666;Protein FAM180B;PF15173
F181A_HUMAN;ENSG00000140067;Protein FAM181A;PF15238
F181B_HUMAN;ENSG00000182103;Protein FAM181B;PF15238
F183A_HUMAN;ENSG00000186973;Protein FAM183A;PF14886
F185A_HUMAN;ENSG00000222011;Protein FAM185A;PF13349
F187A_HUMAN;ENSG00000214447;Ig-like V-type domain-containing protein FAM187A;PF07686
F1891_HUMAN;ENSG00000104059;Protein FAM189A1;PF04103
F1892_HUMAN;ENSG00000135063;Protein FAM189A2;PF04103
F189B_HUMAN;ENSG00000160767;Protein FAM189B;PF04103
F192A_HUMAN;ENSG00000172775;Protein FAM192A;PF10187
F193A_HUMAN;ENSG00000125386;Protein FAM193A;PF15914
F193B_HUMAN;ENSG00000146067;Protein FAM193B;PF15914
F196A_HUMAN;ENSG00000188916;Protein FAM196A;PF15265
F196B_HUMAN;ENSG00000204767;Protein FAM196B;PF15265
F198A_HUMAN;ENSG00000144649;Protein FAM198A;PF15051
F198B_HUMAN;ENSG00000164125;Protein FAM198B;PF15051
F199X_HUMAN;ENSG00000123575;Protein FAM199X;PF15814
F19A1_HUMAN;ENSG00000183662;Protein FAM19A1;PF12020
F19A2_HUMAN;ENSG00000198673;Protein FAM19A2;PF12020
F19A3_HUMAN;ENSG00000184599;Protein FAM19A3;PF12020
F19A4_HUMAN;ENSG00000163377;Protein FAM19A4;PF12020
F19A5_HUMAN;ENSG00000219438;Protein FAM19A5;PF12020
F205A_HUMAN;ENSG00000205108;Protein FAM205A;PF15371
F205C_HUMAN;ENSG00000187791;Protein FAM205C;PF15371
F206A_HUMAN;ENSG00000119328;Protein Simiate;PF01597
F208B_HUMAN;ENSG00000108021;Protein FAM208B;PF12480|PF12509
F209A_HUMAN;ENSG00000124103;Protein FAM209A;PF15206
F209B_HUMAN;ENSG00000213714;Protein FAM209B;PF15206
F210A_HUMAN;ENSG00000177150;Protein FAM210A;PF06916
F210B_HUMAN;ENSG00000124098;Protein FAM210B, mitochondrial;PF06916
F213A_HUMAN;ENSG00000122378;Redox-regulatory protein FAM213A;PF13911
F214A_HUMAN;ENSG00000047346;Protein FAM214A;PF13889|PF13915
F214B_HUMAN;ENSG00000005238;Protein FAM214B;PF13889|PF13915
F216A_HUMAN;ENSG00000204856;Protein FAM216A;PF15107
F216B_HUMAN;ENSG00000179813;Protein FAM216B;PF15107
F217A_HUMAN;ENSG00000145975;Protein FAM217A;PF15344
F217B_HUMAN;ENSG00000196227;Protein FAM217B;PF15344
F219A_HUMAN;ENSG00000164970;Protein FAM219A;PF15260
F219B_HUMAN;ENSG00000178761;Protein FAM219B;PF15260
F220A_HUMAN;ENSG00000178397;Protein FAM220A;PF15487
F221A_HUMAN;ENSG00000188732;Protein FAM221A;PF14753
F221B_HUMAN;ENSG00000204930;Protein FAM221B;PF14753
F222A_HUMAN;ENSG00000139438;Protein FAM222A;PF15258
F222B_HUMAN;ENSG00000173065;Protein FAM222B;PF15258
F227A_HUMAN;ENSG00000184949;Protein FAM227A;PF14922
F227B_HUMAN;ENSG00000166262;Protein FAM227B;PF14922
F229A_HUMAN;ENSG00000225828;Protein FAM229A;PF14982
F229B_HUMAN;ENSG00000203778;Protein FAM229B;PF14982
F231A_HUMAN;ENSG00000237847;Protein FAM231A;PF15897
F231B_HUMAN;ENSG00000268991;Protein FAM231B;PF15897
F231C_HUMAN;ENSG00000279132;Protein FAM231C;PF15897
F241A_HUMAN;ENSG00000174749;Uncharacterized protein FAM241A;PF15378
F241B_HUMAN;ENSG00000171224;Uncharacterized protein FAM241B;PF15378
F261_HUMAN;ENSG00000158571;Fructose-2,6-bisphosphatase;PF01591|PF00300
F262_HUMAN;ENSG00000123836;Fructose-2,6-bisphosphatase;PF01591|PF00300
F263_HUMAN;ENSG00000170525;Fructose-2,6-bisphosphatase;PF01591|PF00300
F264_HUMAN;ENSG00000114268;Fructose-2,6-bisphosphatase;PF01591|PF00300
F71E1_HUMAN;ENSG00000142530;Protein FAM71E1;PF12480
F71E2_HUMAN;ENSG00000180043;Protein FAM71E2;PF12480
F71F1_HUMAN;ENSG00000135248;Protein FAM71F1;PF12480
F71F2_HUMAN;ENSG00000205085;Protein FAM71F2;PF12480
F86B1_HUMAN;ENSG00000186523;Putative protein N-methyltransferase FAM86B1;PF14904|PF10294
F86B2_HUMAN;ENSG00000145002;Putative protein N-methyltransferase FAM86B2;PF14904|PF10294
F91A1_HUMAN;ENSG00000176853;Protein FAM91A1;PF14648|PF14647
FA10_HUMAN;ENSG00000126218;Coagulation factor X;PF00008|PF00594|PF00089
FA11_HUMAN;ENSG00000088926;Coagulation factor XI;PF00024|PF00089
FA12_HUMAN;ENSG00000131187;Coagulation factor XII;PF00008|PF00039|PF00040|PF00051|PF00089
FA13A_HUMAN;ENSG00000138640;Protein FAM13A;PF00620
FA13B_HUMAN;ENSG00000031003;Protein FAM13B;PF00620
FA156_HUMAN;ENSG00000179304;Protein FAM156A/FAM156B;PF15549
FA20A_HUMAN;ENSG00000108950;Pseudokinase FAM20A;PF06702
FA20C_HUMAN;ENSG00000177706;Extracellular serine/threonine protein kinase FAM20C;PF06702
FA24A_HUMAN;ENSG00000203795;Protein FAM24A;PF15193
FA24B_HUMAN;ENSG00000213185;Protein FAM24B;PF15193
FA2H_HUMAN;ENSG00000103089;Fatty acid 2-hydroxylase;PF00173|PF04116
FA32A_HUMAN;ENSG00000105058;Protein FAM32A;PF08555
FA35A_HUMAN;ENSG00000122376;Protein FAM35A;PF15793
FA43A_HUMAN;ENSG00000185112;Protein FAM43A;PF14719
FA43B_HUMAN;ENSG00000183114;Protein FAM43B;PF14719
FA46A_HUMAN;ENSG00000112773;Putative nucleotidyltransferase FAM46A;PF07984
FA46B_HUMAN;ENSG00000158246;Putative nucleotidyltransferase FAM46B;PF07984
FA46C_HUMAN;ENSG00000183508;Putative nucleotidyltransferase FAM46C;PF07984
FA46D_HUMAN;ENSG00000174016;Putative nucleotidyltransferase FAM46D;PF07984
FA47A_HUMAN;ENSG00000185448;Protein FAM47A;PF14642
FA47B_HUMAN;ENSG00000189132;Protein FAM47B;PF14642
FA47C_HUMAN;ENSG00000198173;Putative protein FAM47C;PF14642
FA47E_HUMAN;ENSG00000189157;Protein FAM47E;PF14642
FA49A_HUMAN;ENSG00000197872;Protein FAM49A;PF07159
FA49B_HUMAN;ENSG00000153310;Protein FAM49B;PF07159
FA50A_HUMAN;ENSG00000071859;Protein FAM50A;PF04921
FA50B_HUMAN;ENSG00000145945;Protein FAM50B;PF04921
FA53A_HUMAN;ENSG00000174137;Protein FAM53A;PF15242
FA53B_HUMAN;ENSG00000189319;Protein FAM53B;PF15242
FA53C_HUMAN;ENSG00000120709;Protein FAM53C;PF15242
FA57A_HUMAN;ENSG00000167695;Protein FAM57A;PF03798
FA57B_HUMAN;ENSG00000149926;Protein FAM57B;PF03798
FA5_HUMAN;ENSG00000198734;Coagulation factor V;PF07732|PF00754
FA69A_HUMAN;ENSG00000154511;Protein FAM69A;PF12260|PF14875
FA69B_HUMAN;ENSG00000165716;Protein FAM69B;PF12260|PF14875
FA69C_HUMAN;ENSG00000187773;Protein FAM69C;PF12260|PF14875
FA71A_HUMAN;ENSG00000162771;Protein FAM71A;PF12480
FA71B_HUMAN;ENSG00000170613;Protein FAM71B;PF12480
FA71C_HUMAN;ENSG00000180219;Protein FAM71C;PF12480
FA71D_HUMAN;ENSG00000172717;Protein FAM71D;PF12480
FA72A_HUMAN;ENSG00000196550;Protein FAM72A;PF14976
FA72B_HUMAN;ENSG00000188610;Protein FAM72B;PF14976
FA72C_HUMAN;ENSG00000263513;Protein FAM72C;PF14976
FA72D_HUMAN;ENSG00000215784;Protein FAM72D;PF14976
FA76A_HUMAN;ENSG00000009780;Protein FAM76A;PF16046
FA76B_HUMAN;ENSG00000077458;Protein FAM76B;PF16046
FA7_HUMAN;ENSG00000057593;Coagulation factor VII;PF00008|PF00594|PF00089
FA83A_HUMAN;ENSG00000147689;Protein FAM83A;PF07894
FA83B_HUMAN;ENSG00000168143;Protein FAM83B;PF07894
FA83C_HUMAN;ENSG00000125998;Protein FAM83C;PF07894
FA83D_HUMAN;ENSG00000101447;Protein FAM83D;PF07894
FA83E_HUMAN;ENSG00000105523;Protein FAM83E;PF07894
FA83F_HUMAN;ENSG00000133477;Protein FAM83F;PF07894
FA83G_HUMAN;ENSG00000188522;Protein FAM83G;PF07894
FA83H_HUMAN;ENSG00000180921;Protein FAM83H;PF07894
FA84A_HUMAN;ENSG00000162981;Protein FAM84A;PF04970
FA84B_HUMAN;ENSG00000168672;Protein FAM84B;PF04970
FA86C_HUMAN;ENSG00000158483;Protein FAM86C1;PF14904
FA8A1_HUMAN;ENSG00000137414;Protein FAM8A1;PF06271
FA8_HUMAN;ENSG00000185010;Coagulation factor VIII;PF00394|PF07731|PF07732|PF00754
FA92A_HUMAN;ENSG00000188343;Protein FAM92A;PF06730
FA92B_HUMAN;ENSG00000153789;Protein FAM92B;PF06730
FA96A_HUMAN;ENSG00000166797;MIP18 family protein FAM96A;PF01883
FA98A_HUMAN;ENSG00000119812;Protein FAM98A;PF10239
FA98B_HUMAN;ENSG00000171262;Protein FAM98B;PF10239
FA98C_HUMAN;ENSG00000130244;Protein FAM98C;PF10239
FA9_HUMAN;ENSG00000101981;Coagulation factor IX;PF00008|PF00594|PF00089
FAAA_HUMAN;ENSG00000103876;Fumarylacetoacetase;PF01557|PF09298
FAAH1_HUMAN;ENSG00000117480;Fatty-acid amide hydrolase 1;PF01425
FAAH2_HUMAN;ENSG00000165591;Fatty-acid amide hydrolase 2;PF01425
FABD_HUMAN;ENSG00000100294;Malonyl-CoA-acyl carrier protein transacylase, mitochondrial;PF00698
FABP4_HUMAN;ENSG00000170323;Fatty acid-binding protein, adipocyte;PF00061
FABP5_HUMAN;ENSG00000164687;Fatty acid-binding protein, epidermal;PF00061
FABP7_HUMAN;ENSG00000164434;Fatty acid-binding protein, brain;PF00061
FABP9_HUMAN;ENSG00000205186;Fatty acid-binding protein 9;PF00061
FABPH_HUMAN;ENSG00000121769;Fatty acid-binding protein, heart;PF00061
FABPI_HUMAN;ENSG00000145384;Fatty acid-binding protein, intestinal;PF00061
FACD2_HUMAN;ENSG00000144554;Fanconi anemia group D2 protein;PF14631
FACE1_HUMAN;ENSG00000084073;CAAX prenyl protease 1 homolog;PF01435|PF16491
FACE2_HUMAN;ENSG00000173653;CAAX prenyl protease 2;PF02517
FACOS_HUMAN;ENSG00000163705;FANCD2 opposite strand protein;PF15124
FACR1_HUMAN;ENSG00000197601;Fatty acyl-CoA reductase 1;PF07993|PF03015
FACR2_HUMAN;ENSG00000064763;Fatty acyl-CoA reductase 2;PF07993|PF03015
FAD1_HUMAN;ENSG00000160688;FAD synthase region;PF00994|PF01507
FADD_HUMAN;ENSG00000168040;FAS-associated death domain protein;PF00531|PF01335
FADS1_HUMAN;ENSG00000149485;Fatty acid desaturase 1;PF00173|PF00487
FADS2_HUMAN;ENSG00000134824;Fatty acid desaturase 2;PF00173|PF00487
FADS3_HUMAN;ENSG00000221968;Fatty acid desaturase 3;PF00173|PF00487
FADS6_HUMAN;ENSG00000172782;Fatty acid desaturase 6;PF00487
FAF1_HUMAN;ENSG00000185104;FAS-associated factor 1;PF00789
FAF2_HUMAN;ENSG00000113194;FAS-associated factor 2;PF00789
FAH2A_HUMAN;ENSG00000115042;Fumarylacetoacetate hydrolase domain-containing protein 2A;PF01557
FAH2B_HUMAN;ENSG00000144199;Fumarylacetoacetate hydrolase domain-containing protein 2B;PF01557
FAHD1_HUMAN;ENSG00000180185;Acylpyruvase FAHD1, mitochondrial;PF01557
FAIM1_HUMAN;ENSG00000158234;Fas apoptotic inhibitory molecule 1;PF06905
FAIM3_HUMAN;ENSG00000162894;Fas apoptotic inhibitory molecule 3;PF07686
FAK1_HUMAN;ENSG00000169398;Focal adhesion kinase 1;PF00373|PF03623|PF07714
FAK2_HUMAN;ENSG00000120899;Protein-tyrosine kinase 2-beta;PF00373|PF03623|PF07714
FAKD1_HUMAN;ENSG00000138399;FAST kinase domain-containing protein 1, mitochondrial;PF06743|PF08368|PF08373
FAKD2_HUMAN;ENSG00000118246;FAST kinase domain-containing protein 2, mitochondrial;PF06743|PF08368|PF08373
FAKD3_HUMAN;ENSG00000124279;FAST kinase domain-containing protein 3, mitochondrial;PF06743|PF08368|PF08373
FAKD5_HUMAN;ENSG00000215251;FAST kinase domain-containing protein 5, mitochondrial;PF06743|PF08368|PF08373
FAM9B_HUMAN;ENSG00000177138;Protein FAM9B;PF04803
FAM9C_HUMAN;ENSG00000187268;Protein FAM9C;PF04803
FAN1_HUMAN;ENSG00000198690;Fanconi-associated nuclease 1 {ECO:0000303|PubMed:20603015, ECO:0000303|PubMed:20603016, ECO:0000303|PubMed:20671156};PF08774
FANCA_HUMAN;ENSG00000187741;Fanconi anemia group A protein;PF03511|PF15865
FANCC_HUMAN;ENSG00000158169;Fanconi anemia group C protein;PF02106
FANCE_HUMAN;ENSG00000112039;Fanconi anemia group E protein;PF11510
FANCF_HUMAN;ENSG00000183161;Fanconi anemia group F protein;PF11107
FANCI_HUMAN;ENSG00000140525;Fanconi anemia group I protein;PF14679|PF14680|PF14675|PF14674|PF14676|PF14677|PF14678
FANCJ_HUMAN;ENSG00000136492;Fanconi anemia group J protein;PF06733|PF13307
FANCL_HUMAN;ENSG00000115392;E3 ubiquitin-protein ligase FANCL;PF11793|PF09765
FANCM_HUMAN;ENSG00000187790;Fanconi anemia group M protein;PF02732|PF16783|PF00271|PF04851
FANK1_HUMAN;ENSG00000203780;Fibronectin type 3 and ankyrin repeat domains protein 1;PF12796
FAN_HUMAN;ENSG00000035681;Protein FAN;PF02138|PF02893|PF00400
FAP20_HUMAN;ENSG00000162585;Fanconi anemia core complex-associated protein 20;PF15751|PF15750
FARP1_HUMAN;ENSG00000152767;FERM, ARHGEF and pleckstrin domain-containing protein 1;PF08736|PF09380|PF00373|PF09379|PF00169|PF00621
FARP2_HUMAN;ENSG00000006607;FERM, ARHGEF and pleckstrin domain-containing protein 2;PF08736|PF09380|PF00373|PF09379|PF00169|PF00621
FASTK_HUMAN;ENSG00000164896;Fas-activated serine/threonine kinase;PF06743|PF08368|PF08373
FAS_HUMAN;ENSG00000169710;Oleoyl-[acyl-carrier-protein] hydrolase;PF00698|PF00107|PF16197|PF00109|PF02801|PF08659|PF08242|PF00550|PF14765|PF00975
FAT1_HUMAN;ENSG00000083857;Protocadherin Fat 1;PF00028|PF00008|PF02210
FAT2_HUMAN;ENSG00000086570;Protocadherin Fat 2;PF00028|PF00008|PF02210
FAT3_HUMAN;ENSG00000165323;Protocadherin Fat 3;PF00028|PF02210
FAT4_HUMAN;ENSG00000196159;Protocadherin Fat 4;PF00028|PF07645|PF12661|PF02210
FAXC_HUMAN;ENSG00000146267;Failed axon connections homolog;PF17171|PF17172
FBCD1_HUMAN;ENSG00000130720;Fibrinogen C domain-containing protein 1;PF00147
FBH1_HUMAN;ENSG00000134452;F-box DNA helicase 1;PF12937|PF13361
FBLI1_HUMAN;ENSG00000162458;Filamin-binding LIM protein 1;PF00412
FBLL1_HUMAN;ENSG00000188573;rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1;PF01269
FBLN1_HUMAN;ENSG00000077942;Fibulin-1;PF12662|PF07645
FBLN2_HUMAN;ENSG00000163520;Fibulin-2;PF01821|PF12662|PF07645
FBLN3_HUMAN;ENSG00000115380;EGF-containing fibulin-like extracellular matrix protein 1;PF12662|PF07645
FBLN4_HUMAN;ENSG00000172638;EGF-containing fibulin-like extracellular matrix protein 2;PF12662|PF07645
FBLN5_HUMAN;ENSG00000140092;Fibulin-5;PF12662|PF07645
FBLN7_HUMAN;ENSG00000144152;Fibulin-7;PF00008|PF07645|PF00084
FBN1_HUMAN;ENSG00000166147;Fibrillin-1;PF12662|PF07645|PF00683
FBN2_HUMAN;ENSG00000138829;Fibrillin-2;PF12662|PF07645|PF12661|PF00683
FBN3_HUMAN;ENSG00000142449;Fibrillin-3;PF12662|PF07645|PF12661|PF00683
FBP12_HUMAN;ENSG00000197416;Fatty acid-binding protein 12;PF00061
FBP1L_HUMAN;ENSG00000137942;Formin-binding protein 1-like;PF00611|PF00018
FBRL_HUMAN;ENSG00000105202;rRNA 2'-O-methyltransferase fibrillarin;PF01269
FBRS_HUMAN;ENSG00000156860;Probable fibrosin-1;PF15336
FBSL_HUMAN;ENSG00000112787;Fibrosin-1-like protein;PF15336
FBSP1_HUMAN;ENSG00000174013;F-box/SPRY domain-containing protein 1;PF12937|PF00622
